ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1995-1996,Mahmoud Abdul-Rauf,PG,26,23-26,DEN,57,53,35.6,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.454,0.497,2.6,2.8,0.93,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2,3.4,15.8
2,1995-1996,Michael Adams,PG,33,31-34,CHH,21,3,15.7,1.8,4.0,0.446,0.7,2.0,0.341,1.1,2.0,0.548,0.53,1.2,1.7,0.743,0.2,0.8,1.0,3.2,1.0,0.2,1.2,1.2,5.4,2.67,5.7
3,1995-1996,Rafael Addison,SF,31,31-34,CHH,53,0,9.7,1.5,3.1,0.467,0.0,0.2,0.0,1.5,2.9,0.494,0.467,0.3,0.4,0.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2,1.2,2.3
4,1995-1996,Cory Alexander,PG,22,18-22,SAS,60,0,9.3,1.1,2.6,0.406,0.4,1.1,0.394,0.6,1.5,0.416,0.49,0.3,0.4,0.64,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8,1.82,1.7
5,1995-1996,Jerome Allen,SG,23,23-26,MIN,41,0,8.8,0.9,2.6,0.343,0.2,0.8,0.303,0.6,1.8,0.361,0.39,0.6,0.9,0.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1.0,2.6,1.5,1.2
6,1995-1996,Derrick Alston,C,23,23-26,PHI,73,41,22.1,2.7,5.3,0.512,0.0,0.0,0.333,2.7,5.3,0.513,0.513,0.8,1.5,0.491,1.7,2.4,4.1,0.8,0.8,0.7,0.8,2.6,6.2,1.0,5.9
7,1995-1996,John Amaechi,PF,25,23-26,CLE,28,3,12.8,1.0,2.5,0.414,0.0,0.0,0.0,1.0,2.5,0.414,0.414,0.7,1.2,0.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8,0.25,0.6
8,1995-1996,Ashraf Amaya,PF,24,23-26,VAN,54,34,20.4,2.2,4.7,0.48,0.0,0.0,0.0,2.2,4.6,0.482,0.48,1.8,2.8,0.651,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3,0.55,5.7
9,1995-1996,Greg Anderson,PF,31,31-34,SAS,46,7,7.5,0.5,1.0,0.511,0.0,0.0,0.0,0.5,1.0,0.522,0.511,0.1,0.5,0.24,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2,0.4,1.5
10,1995-1996,Kenny Anderson,PG,25,23-26,TOT,69,64,34.0,5.1,12.1,0.418,1.3,3.7,0.359,3.7,8.4,0.445,0.474,3.8,4.9,0.769,0.9,2.0,2.9,8.3,1.6,0.2,2.1,2.6,15.2,3.95,15.4
