ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1989-1990,Mark Acres,C,27,27-30,ORL,80,50,21.1,1.7,3.6,0.484,0.0,0.1,0.75,1.7,3.5,0.48,0.489,1.0,1.5,0.692,1.9,3.5,5.4,0.8,0.5,0.3,0.9,3.1,4.5,0.89,5.1
2,1989-1990,Michael Adams,PG,27,27-30,DEN,79,74,34.1,5.0,12.5,0.402,2.0,5.5,0.366,3.0,7.1,0.431,0.482,3.4,4.0,0.85,0.6,2.2,2.8,6.3,1.5,0.0,1.8,1.7,15.5,3.5,14.5
3,1989-1990,Mark Aguirre,SF,30,27-30,DET,78,40,25.7,5.6,11.5,0.488,0.4,1.2,0.333,5.2,10.3,0.506,0.505,2.5,3.3,0.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1,1.19,9.6
4,1989-1990,Danny Ainge,PG,30,27-30,SAC,75,68,36.4,6.7,15.4,0.438,1.4,3.9,0.374,5.3,11.5,0.46,0.485,3.0,3.6,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.5,3.2,17.9,2.4,14.9
5,1989-1990,Mark Alarie,PF,26,23-26,WSB,82,10,23.1,4.5,9.6,0.473,0.1,0.6,0.204,4.4,9.0,0.49,0.479,1.3,1.6,0.812,1.8,2.7,4.6,1.7,0.7,0.5,1.2,2.7,10.5,1.42,8.7
6,1989-1990,Steve Alford,PG,25,23-26,DAL,41,0,7.4,1.5,3.4,0.457,0.2,0.5,0.318,1.4,2.8,0.483,0.482,0.9,0.9,0.946,0.0,0.6,0.6,1.0,0.4,0.1,0.4,0.5,4.1,2.5,3.4
7,1989-1990,Randy Allen,SG,25,23-26,SAC,63,6,11.8,1.7,3.8,0.444,0.0,0.1,0.0,1.7,3.7,0.457,0.444,0.4,0.7,0.535,0.8,1.4,2.2,0.4,0.3,0.3,0.4,1.6,3.7,1.0,2.5
8,1989-1990,Greg Anderson,PF,25,23-26,MIL,60,28,21.5,3.7,7.2,0.507,0.0,0.0,0.0,3.7,7.2,0.507,0.507,1.5,2.8,0.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8,0.31,7.8
9,1989-1990,Nick Anderson,SG,22,18-22,ORL,81,9,22.0,4.6,9.3,0.494,0.0,0.2,0.059,4.6,9.1,0.504,0.495,2.3,3.3,0.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5,0.88,9.1
10,1989-1990,Richard Anderson,PF,29,27-30,CHH,54,2,11.2,1.6,3.9,0.417,0.7,1.9,0.37,0.9,2.1,0.459,0.505,0.3,0.4,0.783,0.6,1.7,2.4,1.0,0.4,0.2,0.5,1.2,4.3,2.0,4.2
11,1989-1990,Ron Anderson,SF,31,31-34,PHI,78,3,26.8,4.9,10.8,0.451,0.0,0.3,0.143,4.8,10.5,0.459,0.452,2.1,2.5,0.838,1.0,2.7,3.8,1.8,0.9,0.2,1.0,1.8,11.9,1.8,9.5
12,1989-1990,Willie Anderson,SG,23,23-26,SAS,82,81,34.0,6.5,13.2,0.492,0.1,0.3,0.269,6.4,12.9,0.497,0.495,2.6,3.5,0.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7,1.83,13.6
13,1989-1990,Michael Ansley,SF,22,18-22,ORL,72,5,17.0,3.2,6.5,0.497,0.0,0.0,0.0,3.2,6.5,0.497,0.497,2.3,3.2,0.722,2.6,2.4,5.0,0.6,0.3,0.2,0.7,2.1,8.7,0.86,7.8
14,1989-1990,B.J. Armstrong,PG,22,18-22,CHI,81,0,15.9,2.3,4.8,0.485,0.0,0.1,0.5,2.3,4.8,0.484,0.489,0.9,1.0,0.885,0.2,1.0,1.3,2.5,0.6,0.1,1.0,1.3,5.6,2.5,5.2
15,1989-1990,John Bagley,PG,29,27-30,BOS,54,17,20.3,1.9,4.0,0.459,0.0,0.3,0.056,1.8,3.7,0.495,0.461,0.5,0.7,0.744,0.5,1.2,1.6,5.5,0.7,0.1,1.7,1.4,4.3,3.24,6.8
16,1989-1990,Thurl Bailey,SF,28,27-30,UTA,82,33,31.5,5.7,11.9,0.481,0.0,0.1,0.0,5.7,11.8,0.485,0.481,2.7,3.5,0.779,1.4,3.6,5.0,1.7,0.4,1.2,1.7,2.1,14.2,1.0,11.7
17,1989-1990,Ken Bannister,PF,29,27-30,LAC,52,1,11.3,1.5,3.1,0.478,0.0,0.0,0.0,1.5,3.1,0.481,0.478,1.0,2.1,0.473,0.8,1.4,2.2,0.3,0.3,0.1,0.8,1.8,4.0,0.37,1.6
18,1989-1990,Charles Barkley,SF,26,23-26,PHI,79,79,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,1.26,28.5
19,1989-1990,Dana Barros,PG,22,18-22,SEA,81,25,20.1,3.7,9.1,0.405,1.2,2.9,0.399,2.5,6.2,0.408,0.47,1.1,1.4,0.809,0.4,1.2,1.6,2.5,0.7,0.0,1.5,1.2,9.7,1.67,6.1
20,1989-1990,John Battle,SG,27,27-30,ATL,60,48,24.6,4.6,9.1,0.506,0.0,0.2,0.154,4.6,8.9,0.514,0.507,1.7,2.3,0.756,0.5,1.2,1.7,2.6,0.5,0.1,1.5,1.9,10.9,1.73,7.3
21,1989-1990,Kenny Battle,SG,25,23-26,PHO,59,8,12.4,1.6,2.9,0.547,0.0,0.1,0.25,1.6,2.8,0.554,0.55,0.9,1.4,0.671,0.7,1.4,2.1,0.6,0.6,0.2,0.5,1.6,4.1,1.2,3.7
22,1989-1990,William Bedford,C,26,23-26,DET,42,0,5.9,1.3,3.0,0.432,0.0,0.1,0.167,1.3,2.8,0.445,0.436,0.2,0.5,0.409,0.4,1.0,1.4,0.1,0.1,0.4,0.5,0.9,2.8,0.2,1.4
23,1989-1990,Benoit Benjamin,C,25,23-26,LAC,71,58,32.6,5.1,9.7,0.526,0.0,0.0,0.0,5.1,9.7,0.527,0.526,3.3,4.5,0.732,2.2,7.1,9.3,2.2,0.8,2.6,2.6,3.1,13.5,0.85,16.9
24,1989-1990,Winston Bennett,SF,24,23-26,CLE,55,34,18.0,2.5,5.2,0.479,0.0,0.0,0.0,2.5,5.2,0.479,0.479,1.2,1.7,0.667,1.5,1.9,3.4,1.0,0.4,0.2,1.1,2.4,6.1,0.91,4.4
25,1989-1990,Larry Bird,SF,33,31-34,BOS,75,75,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,2.34,27.1
26,1989-1990,Uwe Blab,C,27,27-30,TOT,47,33,11.3,0.8,2.1,0.398,0.0,0.0,0.0,0.8,2.1,0.398,0.398,0.4,0.8,0.541,0.6,1.7,2.3,0.5,0.0,0.5,0.7,2.2,2.1,0.71,0.8
26,1989-1990,Uwe Blab,C,27,27-30,GSW,40,33,12.0,0.8,2.2,0.379,0.0,0.0,0.0,0.8,2.2,0.379,0.379,0.4,0.8,0.548,0.7,1.8,2.5,0.6,0.0,0.6,0.8,2.3,2.1,0.75,0.9
26,1989-1990,Uwe Blab,C,27,27-30,SAS,7,0,7.1,0.9,1.6,0.545,0.0,0.0,0.0,0.9,1.6,0.545,0.545,0.4,0.9,0.5,0.1,1.1,1.3,0.1,0.0,0.0,0.7,1.3,2.1,0.14,0.3
27,1989-1990,Rolando Blackman,SG,30,27-30,DAL,80,80,36.7,7.8,15.7,0.498,0.2,0.5,0.302,7.7,15.2,0.505,0.504,3.6,4.3,0.844,1.1,2.4,3.5,3.6,1.0,0.3,2.2,1.6,19.4,1.64,15.4
