ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
239,2009-2010,James Jones,SF,29,27-30,MIA,36,6,14.0,1.2,3.3,0.361,1.0,2.5,0.411,0.2,0.8,0.207,0.517,0.6,0.8,0.821,0.1,1.1,1.3,0.5,0.3,0.1,0.3,1.3,4.1,1.67,2.4
240,2009-2010,Solomon Jones,C,25,23-26,IND,52,2,13.0,1.5,3.4,0.443,0.0,0.1,0.0,1.5,3.3,0.451,0.443,1.0,1.4,0.718,1.0,1.8,2.8,0.6,0.3,0.7,0.8,2.4,4.0,0.75,2.9
241,2009-2010,DeAndre Jordan,C,21,18-22,LAC,70,12,16.2,2.1,3.4,0.605,0.0,0.0,0.0,2.1,3.4,0.61,0.605,0.7,1.8,0.375,1.7,3.3,5.0,0.3,0.2,0.9,1.1,2.2,4.8,0.27,5.5
242,2009-2010,Chris Kaman,C,27,27-30,LAC,76,76,34.3,7.8,15.8,0.49,0.0,0.1,0.0,7.8,15.7,0.492,0.49,3.0,4.0,0.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5,0.55,16.4
243,2009-2010,Jason Kapono,SF,28,27-30,PHI,57,12,17.1,2.2,5.3,0.419,1.1,3.0,0.368,1.1,2.3,0.485,0.523,0.2,0.3,0.6,0.2,0.9,1.2,0.7,0.4,0.1,0.6,1.4,5.7,1.17,2.9
244,2009-2010,Coby Karl,SF-SG,26,23-26,TOT,7,1,16.1,1.6,4.6,0.344,0.3,1.6,0.182,1.3,3.0,0.429,0.375,0.6,0.9,0.667,0.6,2.0,2.6,2.1,0.4,0.1,1.4,2.0,4.0,1.5,2.5
244,2009-2010,Coby Karl,SG,26,23-26,CLE,3,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,1.3,0.0,0.0,0.0,-0.6
244,2009-2010,Coby Karl,SF,26,23-26,GSW,4,1,27.0,2.8,8.0,0.344,0.5,2.8,0.182,2.3,5.3,0.429,0.375,1.0,1.5,0.667,1.0,3.0,4.0,3.8,0.8,0.3,1.5,3.5,7.0,2.53,5.2
245,2009-2010,Jason Kidd,PG,36,35-38,DAL,80,80,36.0,3.6,8.4,0.423,2.2,5.2,0.425,1.4,3.2,0.42,0.554,1.0,1.2,0.808,0.6,5.0,5.6,9.1,1.8,0.4,2.4,1.8,10.3,3.79,18.0
246,2009-2010,Andrei Kirilenko,SF,28,27-30,UTA,58,35,29.0,4.2,8.3,0.506,0.4,1.5,0.292,3.8,6.8,0.555,0.533,3.0,4.0,0.744,1.3,3.2,4.6,2.7,1.4,1.2,1.4,1.8,11.9,1.93,13.5
