ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1973-1974,Zaid Abdul-Aziz,C,27,27-30,HOU,79,,31.1,4.3,9.3,0.459,,,0.0,4.3,9.3,0.459,0.459,2.4,3.0,0.804,3.3,8.4,11.7,2.1,1.0,1.3,,2.9,10.9,-1.0,18.5
2,1973-1974,Kareem Abdul-Jabbar,C,26,23-26,MIL,81,,43.8,11.7,21.7,0.539,,,0.0,11.7,21.7,0.539,0.539,3.6,5.2,0.702,3.5,11.0,14.5,4.8,1.4,3.5,,2.9,27.0,-1.0,36.7
3,1973-1974,Don Adams,SF,26,23-26,DET,74,,31.1,4.1,10.0,0.408,,,0.0,4.1,10.0,0.408,0.408,2.1,2.7,0.761,1.8,4.3,6.1,1.9,1.5,0.2,,3.3,10.3,-1.0,10.2
4,1973-1974,Rick Adelman,PG,27,27-30,CHI,55,0.0,11.2,1.2,3.1,0.376,,,0.0,1.2,3.1,0.376,0.376,1.0,1.4,0.711,0.3,1.0,1.3,1.0,0.7,0.0,,1.1,3.3,-1.0,2.9
5,1973-1974,Lucius Allen,PG,26,23-26,MIL,72,,33.2,7.3,14.8,0.495,,,0.0,7.3,14.8,0.495,0.495,3.0,3.8,0.788,1.2,2.8,4.0,5.2,1.9,0.3,,3.0,17.6,-1.0,17.7
6,1973-1974,Tiny Archibald,PG,25,23-26,KCO,35,,36.3,6.3,14.1,0.451,,,0.0,6.3,14.1,0.451,0.451,4.9,6.0,0.82,0.6,1.8,2.4,7.6,1.6,0.2,,2.2,17.6,-1.0,18.3
7,1973-1974,Dennis Awtrey,C,25,23-26,CHI,68,1.0,11.1,1.0,1.8,0.528,,,0.0,1.0,1.8,0.528,0.528,0.8,1.4,0.574,0.7,1.8,2.6,1.3,0.3,0.2,,1.9,2.7,-1.0,3.8
8,1973-1974,Mike Bantom,PF,22,18-22,PHO,76,,26.1,4.1,10.4,0.399,,,0.0,4.1,10.4,0.399,0.399,1.9,2.8,0.662,2.3,4.6,6.8,2.1,0.7,0.6,,3.8,10.1,-1.0,9.3
9,1973-1974,Dick Barnett,SG,37,35-38,NYK,5,0.0,11.6,2.0,5.2,0.385,,,0.0,2.0,5.2,0.385,0.385,0.4,0.6,0.667,0.2,0.6,0.8,1.2,0.2,0.0,,0.4,4.4,-1.0,2.8
10,1973-1974,Jim Barnett,SG,29,27-30,GSW,77,,21.9,4.5,9.8,0.464,,,0.0,4.5,9.8,0.464,0.464,2.4,2.9,0.814,1.0,1.9,2.9,2.7,0.7,0.1,,1.9,11.5,-1.0,10.2
