ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1975-1976,Zaid Abdul-Aziz,C,29,27-30,SEA,27,,8.3,1.3,2.8,0.467,,,0.0,1.3,2.8,0.467,0.467,0.6,1.1,0.552,1.1,1.7,2.8,0.6,0.3,0.6,,1.1,3.2,-1.0,4.4
2,1975-1976,Kareem Abdul-Jabbar,C,28,27-30,LAL,82,82.0,41.2,11.1,21.1,0.529,,,0.0,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,,3.6,27.7,-1.0,39.3
3,1975-1976,Alvan Adams,C,21,18-22,PHO,80,,33.2,7.9,16.8,0.469,,,0.0,7.9,16.8,0.469,0.469,3.3,4.4,0.735,2.7,6.4,9.1,5.6,1.5,1.5,,3.4,19.0,-1.0,23.3
4,1975-1976,Don Adams,SF,28,27-30,BUF,56,,12.6,1.2,3.0,0.394,,,0.0,1.2,3.0,0.394,0.394,0.7,1.0,0.702,0.7,1.9,2.6,1.3,0.5,0.1,,2.3,3.1,-1.0,3.2
5,1975-1976,Lucius Allen,PG,28,27-30,LAL,76,,31.4,6.1,13.2,0.459,,,0.0,6.1,13.2,0.459,0.459,2.6,3.3,0.776,0.8,2.0,2.8,4.7,1.3,0.3,,3.2,14.7,-1.0,12.8
6,1975-1976,Dan Anderson,PG,25,23-26,POR,52,,11.8,1.7,3.5,0.486,,,0.0,1.7,3.5,0.486,0.486,1.0,1.2,0.836,0.3,0.9,1.2,1.6,0.4,0.0,,1.1,4.4,-1.0,4.5
7,1975-1976,Jerome Anderson,SG,22,18-22,BOS,22,,5.7,1.1,2.0,0.556,,,0.0,1.1,2.0,0.556,0.556,0.5,0.7,0.688,0.2,0.4,0.6,0.3,0.1,0.1,,1.1,2.8,-1.0,1.7
8,1975-1976,Tiny Archibald,PG,27,27-30,KCK,78,,40.8,9.2,20.3,0.453,,,0.0,9.2,20.3,0.453,0.453,6.4,8.0,0.802,0.9,1.9,2.7,7.9,1.6,0.2,,2.2,24.8,-1.0,22.3
9,1975-1976,Jim Ard,C,27,27-30,BOS,81,,10.5,1.3,3.6,0.364,,,0.0,1.3,3.6,0.364,0.364,0.9,1.2,0.71,1.2,2.4,3.6,0.6,0.1,0.4,,1.7,3.5,-1.0,3.9
10,1975-1976,Dennis Awtrey,C,27,27-30,PHO,74,,18.6,1.9,4.1,0.467,,,0.0,1.9,4.1,0.467,0.467,1.0,1.5,0.688,1.3,2.7,4.0,2.1,0.3,0.3,,2.1,4.9,-1.0,6.8
11,1975-1976,Gus Bailey,SG,24,23-26,HOU,30,,8.7,0.9,2.6,0.364,,,0.0,0.9,2.6,0.364,0.364,0.5,0.9,0.5,0.7,1.0,1.7,1.4,0.5,0.3,,1.1,2.3,-1.0,3.0
12,1975-1976,Mike Bantom,SF,24,23-26,TOT,73,,21.5,3.0,6.5,0.462,,,0.0,3.0,6.5,0.462,0.462,1.9,2.7,0.683,1.9,3.4,5.4,1.4,0.4,0.4,,3.0,7.9,-1.0,8.2
12,1975-1976,Mike Bantom,SF,24,23-26,PHO,7,,9.7,1.1,3.7,0.308,,,0.0,1.1,3.7,0.308,0.308,0.7,0.7,1.0,1.0,2.3,3.3,0.4,0.3,0.3,,1.9,3.0,-1.0,2.8
12,1975-1976,Mike Bantom,SF,24,23-26,SEA,66,,22.8,3.2,6.8,0.471,,,0.0,3.2,6.8,0.471,0.471,2.0,2.9,0.675,2.0,3.6,5.6,1.5,0.4,0.4,,3.2,8.4,-1.0,8.6
13,1975-1976,Jim Barnett,SG,31,31-34,NYK,71,1.0,14.5,2.3,5.2,0.442,,,0.0,2.3,5.2,0.442,0.442,1.3,1.6,0.789,0.7,0.6,1.2,1.3,0.3,0.0,,1.2,5.9,-1.0,4.3
14,1975-1976,Rick Barry,SF,31,31-34,GSW,81,,38.5,8.7,20.0,0.435,,,0.0,8.7,20.0,0.435,0.435,3.5,3.8,0.923,0.9,5.2,6.1,6.1,2.5,0.3,,2.7,21.0,-1.0,21.7
15,1975-1976,Jerry Baskerville,SF,24,23-26,PHI,21,0.0,5.0,0.4,1.2,0.308,,,0.0,0.4,1.2,0.308,0.308,0.5,0.8,0.625,0.6,0.7,1.3,0.1,0.3,0.2,,1.5,1.2,-1.0,0.5
16,1975-1976,Butch Beard,PG,28,27-30,TOT,75,,22.7,3.0,6.6,0.46,,,0.0,3.0,6.6,0.46,0.46,1.9,2.6,0.75,1.4,2.8,4.1,2.9,1.1,0.1,,2.9,8.0,-1.0,9.0
16,1975-1976,Butch Beard,PG,28,27-30,CLE,15,,17.0,2.3,6.0,0.389,,,0.0,2.3,6.0,0.389,0.389,1.8,2.5,0.73,0.9,1.9,2.9,3.0,0.7,0.1,,2.4,6.5,-1.0,6.4
16,1975-1976,Butch Beard,PG,28,27-30,NYK,60,28.0,24.2,3.2,6.8,0.475,,,0.0,3.2,6.8,0.475,0.475,2.0,2.6,0.755,1.5,3.0,4.5,2.9,1.2,0.1,,3.0,8.4,-1.0,9.9
17,1975-1976,Ron Behagen,PF,25,23-26,NOJ,66,,26.3,4.7,10.5,0.446,,,0.0,4.7,10.5,0.446,0.446,2.2,2.7,0.804,2.9,5.5,8.4,2.1,1.0,0.4,,3.4,11.5,-1.0,13.7
18,1975-1976,Dennis Bell,SF,24,23-26,NYK,10,0.0,7.6,0.8,2.1,0.381,,,0.0,0.8,2.1,0.381,0.381,0.3,0.7,0.429,0.4,1.0,1.4,0.3,0.6,0.1,,1.1,1.9,-1.0,1.5
19,1975-1976,Leon Benbow,SG,25,23-26,CHI,76,22.0,20.9,2.9,7.3,0.397,,,0.0,2.9,7.3,0.397,0.397,1.4,1.8,0.75,0.9,1.5,2.3,2.1,0.8,0.1,,2.4,7.1,-1.0,5.2
20,1975-1976,Henry Bibby,PG,26,23-26,NOJ,79,,22.4,3.4,7.9,0.428,,,0.0,3.4,7.9,0.428,0.428,2.5,3.2,0.797,0.7,1.5,2.3,2.8,0.8,0.0,,2.1,9.3,-1.0,7.9
