ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1960-1961,Gary Alcorn,C,24,23-26,LAL,20,,8.7,0.6,2.0,0.3,,,0.0,0.6,2.0,0.3,0.3,0.4,0.4,0.875,,,2.5,0.1,,,,2.4,1.6,-1.0,0.4
2,1960-1961,Paul Arizin,SF,32,31-34,PHW,79,,37.2,8.2,19.4,0.425,,,0.0,8.2,19.4,0.425,0.425,6.7,8.1,0.833,,,8.6,2.4,,,,4.2,23.2,-1.0,17.4
3,1960-1961,Al Attles,PG,24,23-26,PHW,77,,20.1,2.9,7.1,0.409,,,0.0,2.9,7.1,0.409,0.409,1.3,2.1,0.599,,,2.8,2.3,,,,3.1,7.0,-1.0,4.0
4,1960-1961,Dick Barnett,SG,24,23-26,SYR,78,,26.5,6.9,15.3,0.452,,,0.0,6.9,15.3,0.452,0.452,3.1,4.3,0.712,,,3.6,2.8,,,,2.2,16.9,-1.0,11.5
5,1960-1961,Elgin Baylor,SF,26,23-26,LAL,73,,42.9,12.8,29.7,0.43,,,0.0,12.8,29.7,0.43,0.43,9.3,11.8,0.783,,,19.8,5.1,,,,3.8,34.8,-1.0,36.5
6,1960-1961,Ernie Beck,SG,29,27-30,TOT,10,,8.2,1.0,2.9,0.345,,,0.0,1.0,2.9,0.345,0.345,0.6,0.7,0.857,,,2.3,1.5,,,,1.0,2.6,-1.0,3.4
6,1960-1961,Ernie Beck,SG,29,27-30,STL,7,,8.9,1.0,3.0,0.333,,,0.0,1.0,3.0,0.333,0.333,0.7,0.7,1.0,,,1.7,1.9,,,,0.9,2.7,-1.0,3.4
6,1960-1961,Ernie Beck,SG,29,27-30,SYR,3,,6.7,1.0,2.7,0.375,,,0.0,1.0,2.7,0.375,0.375,0.3,0.7,0.5,,,3.7,0.7,,,,1.3,2.3,-1.0,3.3
7,1960-1961,Whitey Bell,PG,28,27-30,NYK,5,,9.0,1.4,3.6,0.389,,,0.0,1.4,3.6,0.389,0.389,0.2,0.6,0.333,,,1.4,0.2,,,,1.4,3.0,-1.0,0.6
8,1960-1961,Al Bianchi,PG,28,27-30,SYR,52,,12.8,2.3,6.6,0.345,,,0.0,2.3,6.6,0.345,0.345,1.2,1.7,0.69,,,2.0,1.8,,,,2.6,5.7,-1.0,2.1
9,1960-1961,Bucky Bockhorn,SG,27,27-30,CIN,79,,33.8,5.3,13.4,0.397,,,0.0,5.3,13.4,0.397,0.397,1.9,2.6,0.731,,,5.5,4.3,,,,3.6,12.6,-1.0,10.0
10,1960-1961,Bob Boozer,PF,23,23-26,CIN,79,,19.9,3.2,7.6,0.415,,,0.0,3.2,7.6,0.415,0.415,2.1,3.1,0.672,,,6.2,1.4,,,,2.4,8.4,-1.0,8.2
11,1960-1961,Carl Braun,PG,33,31-34,NYK,15,,14.5,2.5,5.3,0.468,,,0.0,2.5,5.3,0.468,0.468,0.7,0.9,0.786,,,2.1,3.2,,,,1.9,5.7,-1.0,6.1
12,1960-1961,Dave Budd,SF,22,18-22,NYK,61,,17.6,2.6,5.9,0.432,,,0.0,2.6,5.9,0.432,0.432,1.4,2.2,0.649,,,4.9,0.7,,,,2.8,6.5,-1.0,5.2
13,1960-1961,Barney Cable,SF,25,23-26,SYR,75,,21.9,3.5,7.7,0.463,,,0.0,3.5,7.7,0.463,0.463,1.0,1.4,0.676,,,6.3,1.1,,,,3.3,8.1,-1.0,7.6
14,1960-1961,Wilt Chamberlain,C,24,23-26,PHW,79,,47.8,15.8,31.1,0.509,,,0.0,15.8,31.1,0.509,0.509,6.7,13.3,0.504,,,27.2,1.9,,,,1.6,38.4,-1.0,44.0
