ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1994-1995,Alaa Abdelnaby,PF,26,23-26,TOT,54,0,9.4,2.2,4.3,0.511,0.0,0.0,0.0,2.2,4.2,0.515,0.511,0.4,0.6,0.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7,0.25,2.5
1,1994-1995,Alaa Abdelnaby,PF,26,23-26,SAC,51,0,9.3,2.3,4.3,0.532,0.0,0.0,0.0,2.3,4.3,0.537,0.532,0.4,0.7,0.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0,0.37,2.8
1,1994-1995,Alaa Abdelnaby,PF,26,23-26,PHI,3,0,10.0,0.3,3.7,0.091,0.0,0.0,0.0,0.3,3.7,0.091,0.091,0.0,0.0,0.0,1.0,1.7,2.7,0.0,0.0,0.0,1.7,0.7,0.7,0.0,-2.4
2,1994-1995,Mahmoud Abdul-Rauf,PG,25,23-26,DEN,73,43,28.5,6.5,13.8,0.47,1.1,2.9,0.386,5.3,10.8,0.492,0.511,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0,2.25,11.9
3,1994-1995,Michael Adams,PG,32,31-34,CHH,29,0,15.3,2.3,5.1,0.453,1.0,2.8,0.358,1.3,2.3,0.567,0.551,0.9,1.0,0.833,0.2,0.8,1.0,3.3,0.8,0.0,0.9,1.4,6.5,3.67,6.4
4,1994-1995,Rafael Addison,SF,30,27-30,DET,79,16,22.5,3.5,7.4,0.476,0.3,1.1,0.289,3.2,6.4,0.507,0.497,0.9,1.3,0.747,0.8,2.2,3.1,1.4,0.7,0.3,1.0,3.0,8.3,1.4,5.5
5,1994-1995,Danny Ainge,SG,35,35-38,PHO,74,1,18.6,2.6,5.7,0.46,1.1,2.9,0.364,1.6,2.8,0.558,0.552,1.4,1.8,0.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7,2.55,6.0
6,1994-1995,Victor Alexander,C,25,23-26,GSW,50,29,24.7,4.6,8.9,0.515,0.1,0.5,0.24,4.5,8.4,0.531,0.521,0.7,1.2,0.6,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0,0.8,9.0
7,1994-1995,Derrick Alston,C,22,18-22,PHI,64,1,16.1,1.9,4.0,0.465,0.0,0.1,0.0,1.9,4.0,0.472,0.465,0.9,1.9,0.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7,0.62,4.1
8,1994-1995,Greg Anderson,PF,30,27-30,ATL,51,0,12.2,1.1,2.0,0.548,0.0,0.0,0.0,1.1,2.0,0.548,0.548,0.7,1.4,0.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9,0.5,3.8
9,1994-1995,Kenny Anderson,PG,24,23-26,NJN,72,70,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.4,10.2,0.426,0.446,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,3.03,16.8
10,1994-1995,Nick Anderson,SG,27,27-30,ORL,76,76,34.1,5.8,12.1,0.476,2.4,5.7,0.415,3.4,6.5,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8,2.16,15.6
