ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1996-1997,Mahmoud Abdul-Rauf,PG,27,27-30,SAC,75,51,28.4,5.5,12.3,0.445,1.3,3.3,0.382,4.2,9.0,0.468,0.496,1.5,1.8,0.846,0.2,1.4,1.6,2.5,0.7,0.1,1.6,2.3,13.7,1.56,7.6
2,1996-1997,Shareef Abdur-Rahim,PF,20,18-22,VAN,80,71,35.0,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,0.79,14.5
3,1996-1997,Rafael Addison,SF,32,31-34,CHH,41,3,8.7,1.2,3.0,0.402,0.2,0.5,0.4,1.0,2.5,0.402,0.434,0.5,0.7,0.786,0.5,0.6,1.1,0.8,0.2,0.1,0.4,1.3,3.1,2.0,1.6
4,1996-1997,Cory Alexander,PG,23,23-26,SAS,80,6,18.2,2.4,6.1,0.396,1.2,3.2,0.373,1.3,3.0,0.42,0.492,1.2,1.6,0.736,0.4,1.2,1.5,3.2,1.0,0.2,1.8,1.9,7.2,1.78,5.3
5,1996-1997,Jerome Allen,SG,24,23-26,TOT,76,1,12.4,1.0,2.9,0.353,0.4,1.2,0.323,0.6,1.7,0.375,0.421,0.6,0.9,0.583,0.3,1.0,1.3,2.0,0.4,0.1,0.9,1.1,3.0,2.22,2.6
5,1996-1997,Jerome Allen,SG,24,23-26,IND,51,1,13.6,1.1,2.9,0.388,0.5,1.2,0.39,0.7,1.7,0.386,0.466,0.5,0.9,0.574,0.3,1.0,1.3,2.1,0.5,0.0,1.1,1.3,3.2,1.91,2.5
5,1996-1997,Jerome Allen,SG,24,23-26,DEN,25,0,10.0,0.8,3.0,0.284,0.3,1.4,0.206,0.6,1.6,0.35,0.331,0.6,1.0,0.6,0.5,0.8,1.3,1.7,0.2,0.2,0.5,0.7,2.6,3.4,2.2
6,1996-1997,Ray Allen,SG,21,18-22,MIL,82,81,30.9,4.8,11.1,0.43,1.4,3.6,0.393,3.3,7.4,0.448,0.494,2.5,3.0,0.823,1.2,2.8,4.0,2.6,0.9,0.1,1.8,2.7,13.4,1.44,9.7
7,1996-1997,Derrick Alston,C,24,23-26,ATL,2,0,5.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5
8,1996-1997,Ashraf Amaya,PF,25,23-26,WSB,31,0,4.6,0.4,1.3,0.3,0.0,0.0,1.0,0.4,1.3,0.282,0.313,0.5,0.9,0.536,0.6,1.1,1.7,0.1,0.2,0.1,0.3,0.9,1.3,0.33,0.9
9,1996-1997,Greg Anderson,C,32,31-34,SAS,82,48,20.2,1.6,3.2,0.496,0.0,0.0,0.0,1.6,3.2,0.498,0.496,0.8,1.1,0.667,1.9,3.5,5.5,0.4,0.8,0.8,0.9,2.7,3.9,0.44,5.9
10,1996-1997,Kenny Anderson,PG,26,23-26,POR,82,81,37.6,5.9,13.9,0.427,1.6,4.5,0.361,4.3,9.4,0.458,0.485,4.1,5.3,0.768,1.1,3.3,4.4,7.1,2.0,0.2,2.4,2.7,17.5,2.96,16.9
11,1996-1997,Nick Anderson,SG,29,27-30,ORL,63,61,34.3,4.6,11.5,0.397,2.3,6.4,0.353,2.3,5.1,0.453,0.496,0.6,1.5,0.404,1.0,3.8,4.8,2.9,1.9,0.5,1.4,2.5,12.0,2.07,10.4
12,1996-1997,Shandon Anderson,SG,23,23-26,UTA,65,0,16.4,2.3,4.9,0.462,0.4,0.7,0.511,1.9,4.2,0.454,0.5,1.0,1.5,0.687,0.8,2.0,2.8,0.8,0.4,0.1,1.1,1.7,5.9,0.73,4.1
13,1996-1997,Willie Anderson,SG,30,27-30,MIA,28,1,10.8,1.0,2.3,0.453,0.3,0.7,0.421,0.8,1.6,0.467,0.516,0.6,0.7,0.85,0.5,1.0,1.5,1.2,0.5,0.1,0.7,1.3,3.0,1.71,2.9
14,1996-1997,Greg Anthony,PG,29,27-30,VAN,65,44,28.7,3.1,7.8,0.393,1.4,3.7,0.37,1.7,4.1,0.413,0.479,2.0,2.7,0.73,0.4,2.4,2.8,6.3,2.0,0.1,2.0,1.9,9.5,3.15,11.4
15,1996-1997,B.J. Armstrong,PG,29,27-30,GSW,49,17,20.8,3.0,6.7,0.453,0.5,1.8,0.278,2.5,4.8,0.519,0.491,1.4,1.6,0.861,0.1,1.4,1.5,2.6,0.5,0.0,1.1,1.1,7.9,2.36,6.4
16,1996-1997,Darrell Armstrong,PG,28,27-30,ORL,67,0,15.1,2.0,5.1,0.383,0.8,2.7,0.304,1.1,2.4,0.47,0.462,1.4,1.6,0.868,0.5,0.6,1.1,2.6,0.9,0.1,1.5,1.7,6.1,1.73,4.3
17,1996-1997,Vincent Askew,SG,30,27-30,TOT,43,0,19.5,1.9,4.3,0.435,0.2,0.6,0.292,1.7,3.8,0.457,0.454,1.6,2.0,0.795,0.6,1.7,2.3,2.1,0.4,0.1,1.1,2.9,5.6,1.91,3.7
17,1996-1997,Vincent Askew,SG,30,27-30,NJN,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0
17,1996-1997,Vincent Askew,SG,30,27-30,IND,41,0,20.0,1.9,4.5,0.432,0.2,0.6,0.292,1.8,3.9,0.453,0.451,1.7,2.1,0.791,0.6,1.8,2.4,2.2,0.4,0.1,1.0,3.0,5.7,2.2,3.8
17,1996-1997,Vincent Askew,SG,30,27-30,DEN,1,0,9.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0
18,1996-1997,Keith Askins,SF,29,27-30,MIA,78,30,22.7,1.8,4.1,0.433,0.9,2.2,0.401,0.9,1.9,0.469,0.541,0.5,0.7,0.672,1.1,2.4,3.5,1.0,0.7,0.2,0.8,2.5,4.9,1.25,4.5
19,1996-1997,Stacey Augmon,SG,28,27-30,TOT,60,10,15.7,1.8,3.7,0.477,0.0,0.0,0.0,1.8,3.7,0.477,0.477,1.2,1.6,0.711,0.8,1.5,2.3,0.9,0.7,0.3,1.1,1.5,4.7,0.82,4.0
19,1996-1997,Stacey Augmon,SG,28,27-30,DET,20,3,14.6,1.6,3.9,0.403,0.0,0.0,0.0,1.6,3.9,0.403,0.403,1.4,2.1,0.683,0.7,1.8,2.5,0.8,0.5,0.5,1.4,1.5,4.5,0.57,2.9
19,1996-1997,Stacey Augmon,SG,28,27-30,POR,40,7,16.3,1.9,3.6,0.517,0.0,0.0,0.0,1.9,3.6,0.517,0.517,1.0,1.4,0.732,0.8,1.4,2.2,1.0,0.8,0.2,0.9,1.5,4.7,1.11,4.4
20,1996-1997,Isaac Austin,C,27,27-30,MIA,82,17,22.9,3.9,7.8,0.502,0.0,0.0,0.0,3.9,7.8,0.505,0.502,1.8,2.8,0.664,1.7,4.2,5.8,1.2,0.5,0.5,2.0,3.0,9.7,0.6,7.8
21,1996-1997,Vin Baker,PF,25,23-26,MIL,78,78,40.5,8.1,16.0,0.505,0.2,0.7,0.278,7.9,15.3,0.515,0.511,4.6,6.7,0.687,3.4,6.9,10.3,2.7,1.0,1.4,3.1,3.5,21.0,0.87,19.8
22,1996-1997,Charles Barkley,PF,33,31-34,HOU,53,53,37.9,6.3,13.1,0.484,1.1,3.9,0.283,5.2,9.2,0.569,0.526,5.4,7.8,0.694,4.0,9.5,13.5,4.7,1.3,0.5,2.8,2.9,19.2,1.68,24.3
23,1996-1997,Dana Barros,PG,29,27-30,BOS,24,8,29.5,4.6,10.5,0.435,1.8,4.4,0.41,2.8,6.2,0.453,0.52,1.5,1.8,0.86,0.2,1.8,2.0,3.4,1.1,0.3,1.6,1.4,12.5,2.12,10.1
24,1996-1997,Brent Barry,SG,25,23-26,LAC,59,0,18.5,2.6,6.4,0.409,0.9,2.9,0.324,1.7,3.5,0.481,0.483,1.3,1.6,0.817,0.5,1.4,1.9,2.6,0.9,0.3,1.3,1.5,7.5,2.0,6.3
25,1996-1997,Jon Barry,SG,27,27-30,ATL,58,8,16.6,1.7,4.2,0.407,0.8,2.1,0.387,0.9,2.1,0.426,0.504,0.6,0.8,0.804,0.4,1.3,1.7,2.0,0.9,0.1,1.0,1.0,4.9,2.0,4.9
26,1996-1997,Benoit Benjamin,C,32,31-34,TOR,4,3,11.0,1.3,3.0,0.417,0.0,0.0,0.0,1.3,3.0,0.417,0.417,0.8,1.0,0.75,0.8,1.5,2.3,0.3,0.3,0.0,0.5,1.3,3.3,0.6,2.5
27,1996-1997,Elmer Bennett,PG,26,23-26,TOT,9,0,8.3,0.7,2.1,0.316,0.3,1.0,0.333,0.3,1.1,0.3,0.395,0.8,1.1,0.7,0.0,0.4,0.4,1.2,0.4,0.0,1.1,0.8,2.4,1.09,0.8
27,1996-1997,Elmer Bennett,PG,26,23-26,HOU,4,0,4.0,0.5,1.5,0.333,0.3,0.8,0.333,0.3,0.8,0.333,0.417,1.3,1.5,0.833,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.3,2.5,0.0,2.8
27,1996-1997,Elmer Bennett,PG,26,23-26,DEN,5,0,11.8,0.8,2.6,0.308,0.4,1.2,0.333,0.4,1.4,0.286,0.385,0.4,0.8,0.5,0.0,0.6,0.6,1.4,0.4,0.0,2.0,1.2,2.4,0.7,-0.6
28,1996-1997,Travis Best,PG,24,23-26,IND,76,46,27.2,3.6,8.2,0.442,0.8,2.0,0.368,2.9,6.1,0.467,0.488,2.0,2.6,0.756,0.5,1.7,2.2,4.2,1.3,0.1,2.0,2.9,9.9,2.1,7.6
29,1996-1997,Mookie Blaylock,PG,29,27-30,ATL,78,78,39.2,6.4,14.9,0.432,2.8,7.7,0.366,3.6,7.1,0.505,0.528,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.7,0.3,2.4,1.8,17.4,2.46,18.4
30,1996-1997,Corie Blount,PF,28,27-30,LAL,58,18,17.4,1.6,3.1,0.514,0.0,0.1,0.333,1.6,3.0,0.517,0.517,1.0,1.4,0.675,1.9,2.8,4.8,0.6,0.4,0.4,0.9,2.1,4.2,0.67,5.5
31,1996-1997,Muggsy Bogues,PG,32,31-34,CHH,65,65,28.9,3.1,6.8,0.46,0.9,2.2,0.417,2.2,4.6,0.482,0.528,0.8,1.0,0.844,0.4,1.8,2.2,7.2,1.3,0.0,1.7,1.8,8.0,4.24,11.3
32,1996-1997,Dexter Boney,SG,26,23-26,PHO,8,0,6.0,0.8,2.4,0.316,0.1,0.8,0.167,0.6,1.6,0.385,0.342,0.8,1.0,0.75,0.4,0.4,0.8,0.0,0.3,0.1,0.1,0.4,2.4,0.0,1.3
33,1996-1997,Melvin Booker,PG,24,23-26,TOT,21,4,20.5,2.2,5.0,0.438,0.6,1.8,0.324,1.6,3.2,0.5,0.495,0.9,1.0,0.9,0.3,1.0,1.4,2.5,0.1,0.1,1.3,1.3,5.8,1.92,4.4
33,1996-1997,Melvin Booker,PG,24,23-26,DEN,5,0,4.2,0.4,0.8,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.625,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,1.4,0.0,1.0,0.43,0.0
33,1996-1997,Melvin Booker,PG,24,23-26,GSW,16,4,25.6,2.8,6.3,0.436,0.7,2.2,0.314,2.1,4.1,0.5,0.49,1.1,1.3,0.9,0.4,1.3,1.8,3.1,0.2,0.1,1.3,1.8,7.3,2.38,5.7
34,1996-1997,Bruce Bowen,SF,25,23-26,MIA,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0
35,1996-1997,Donnie Boyce,SG,23,23-26,ATL,22,2,7.0,1.0,2.9,0.333,0.1,0.7,0.125,0.9,2.1,0.404,0.349,0.5,1.0,0.5,0.3,0.4,0.7,0.6,0.5,0.2,0.7,0.8,2.5,0.86,0.6
36,1996-1997,Shawn Bradley,C,24,23-26,TOT,73,70,31.3,5.6,12.4,0.449,0.0,0.1,0.0,5.6,12.3,0.453,0.449,2.0,3.1,0.654,3.0,5.3,8.4,0.7,0.5,3.4,1.8,3.2,13.2,0.39,13.3
36,1996-1997,Shawn Bradley,C,24,23-26,NJN,40,38,30.7,5.0,11.4,0.436,0.0,0.1,0.0,5.0,11.3,0.441,0.436,2.0,3.1,0.664,3.0,5.2,8.1,0.5,0.6,4.0,1.6,3.1,12.0,0.31,13.0
36,1996-1997,Shawn Bradley,C,24,23-26,DAL,33,32,32.1,6.3,13.6,0.461,0.0,0.1,0.0,6.3,13.5,0.464,0.461,2.1,3.2,0.642,3.1,5.5,8.7,1.0,0.5,2.7,2.1,3.5,14.6,0.48,13.5
