ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1981-1982,Kareem Abdul-Jabbar,C,34,31-34,LAL,76,76,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,1.0,24.3
2,1981-1982,Alvan Adams,C,27,27-30,PHO,79,75,30.3,6.4,13.0,0.494,0.0,0.0,0.0,6.4,13.0,0.494,0.494,2.3,2.9,0.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1,1.8,16.3
3,1981-1982,Mark Aguirre,SF,22,18-22,DAL,51,20,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7.0,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,1.23,12.2
4,1981-1982,Danny Ainge,SG,22,18-22,BOS,53,1,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1,1.6,2.2
5,1981-1982,Tiny Archibald,PG,33,31-34,BOS,68,51,31.9,4.5,9.6,0.472,0.1,0.2,0.375,4.4,9.4,0.475,0.477,3.5,4.6,0.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6,3.08,12.4
6,1981-1982,Dennis Awtrey,C,33,31-34,POR,10,3,12.1,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.5,0.9,0.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5,1.33,-0.8
7,1981-1982,Carl Bailey,C,23,23-26,POR,1,0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0
8,1981-1982,James Bailey,PF,24,23-26,TOT,77,0,19.1,3.4,6.6,0.517,0.0,0.0,0.0,3.4,6.6,0.517,0.517,1.8,2.9,0.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6,0.44,6.5
8,1981-1982,James Bailey,PF,24,23-26,SEA,10,0,18.0,3.1,6.5,0.477,0.0,0.0,0.0,3.1,6.5,0.477,0.477,0.4,1.1,0.364,1.7,3.1,4.8,1.3,0.3,0.7,1.9,4.2,6.6,0.68,3.5
8,1981-1982,James Bailey,PF,24,23-26,NJN,67,0,19.2,3.4,6.6,0.523,0.0,0.0,0.0,3.4,6.6,0.523,0.523,2.0,3.2,0.624,1.6,3.5,5.1,0.8,0.6,1.1,1.8,3.4,8.9,0.44,6.9
