ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1977-1978,Zaid Abdul-Aziz,PF-C,31,31-34,TOT,16,,9.9,1.4,3.8,0.383,,,0.0,1.4,3.8,0.383,0.383,1.1,1.4,0.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9,0.67,2.6
1,1977-1978,Zaid Abdul-Aziz,C,31,31-34,BOS,2,,12.0,1.5,6.5,0.231,,,0.0,1.5,6.5,0.231,0.231,1.0,1.5,0.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0,1.0,5.0
1,1977-1978,Zaid Abdul-Aziz,PF,31,31-34,HOU,14,,9.6,1.4,3.4,0.426,,,0.0,1.4,3.4,0.426,0.426,1.1,1.4,0.75,0.9,1.6,2.5,0.5,0.1,0.1,0.8,1.8,3.9,0.62,2.2
2,1977-1978,Kareem Abdul-Jabbar,C,30,27-30,LAL,62,,36.5,10.7,19.4,0.55,,,0.0,10.7,19.4,0.55,0.55,4.4,5.6,0.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8,1.26,31.5
3,1977-1978,Tom Abernethy,SF,23,23-26,LAL,73,,18.0,2.8,5.5,0.498,,,0.0,2.8,5.5,0.498,0.498,1.2,1.5,0.82,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8,2.0,7.5
4,1977-1978,Alvan Adams,C,23,23-26,PHO,70,,27.3,6.2,12.8,0.485,,,0.0,6.2,12.8,0.485,0.485,3.1,4.2,0.73,2.3,5.8,8.1,3.2,1.2,0.9,3.3,3.5,15.5,0.97,14.4
5,1977-1978,Lucius Allen,PG,30,27-30,KCK,77,,27.9,4.8,11.0,0.441,,,0.0,4.8,11.0,0.441,0.441,2.3,2.9,0.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9,1.68,9.3
6,1977-1978,Jim Ard,C,29,27-30,TOT,15,,8.3,0.5,1.1,0.471,,,0.0,0.5,1.1,0.471,0.471,0.2,0.3,0.6,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3,0.56,1.3
6,1977-1978,Jim Ard,C,29,27-30,BOS,1,,9.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
6,1977-1978,Jim Ard,C,29,27-30,CHI,14,0.0,8.3,0.6,1.1,0.5,,,0.0,0.6,1.1,0.5,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3,0.5,1.2
7,1977-1978,Tate Armstrong,SG,22,18-22,CHI,66,0.0,10.8,2.0,4.2,0.468,,,0.0,2.0,4.2,0.468,0.468,0.3,0.4,0.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3,1.22,2.9
8,1977-1978,Bird Averitt,SG,25,23-26,TOT,55,,19.7,3.6,8.8,0.409,,,0.0,3.6,8.8,0.409,0.409,1.8,2.6,0.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0,1.38,4.2
8,1977-1978,Bird Averitt,SG,25,23-26,NJN,21,,19.5,3.3,9.0,0.367,,,0.0,3.3,9.0,0.367,0.367,1.7,2.1,0.8,0.3,1.2,1.6,3.2,0.8,0.0,2.6,1.8,8.3,1.23,3.4
8,1977-1978,Bird Averitt,SG,25,23-26,BUF,34,,19.9,3.8,8.7,0.436,,,0.0,3.8,8.7,0.436,0.436,1.9,2.8,0.667,0.3,1.2,1.5,3.8,0.6,0.2,2.6,2.5,9.5,1.46,4.7
9,1977-1978,Dennis Awtrey,C,29,27-30,PHO,81,,20.0,1.4,3.3,0.424,,,0.0,1.4,3.3,0.424,0.424,0.9,1.3,0.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6,1.25,4.0
10,1977-1978,Gus Bailey,SG,26,23-26,NOJ,48,,9.4,1.2,2.9,0.424,,,0.0,1.2,2.9,0.424,0.424,0.8,1.4,0.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2,1.14,2.4
11,1977-1978,Greg Ballard,SF,23,23-26,WSB,76,,12.3,1.9,4.4,0.425,,,0.0,1.9,4.4,0.425,0.425,1.2,1.5,0.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9,1.0,5.0
12,1977-1978,Mike Bantom,SF,26,23-26,IND,82,,33.8,6.1,12.8,0.479,,,0.0,6.1,12.8,0.479,0.479,3.1,4.2,0.743,2.2,5.2,7.4,2.9,1.2,0.6,2.7,4.1,15.3,1.07,12.8
13,1977-1978,Marvin Barnes,PF,25,23-26,TOT,60,,27.4,4.7,11.0,0.422,,,0.0,4.7,11.0,0.422,0.422,2.1,3.0,0.703,2.3,5.1,7.3,2.3,1.1,1.4,2.3,4.0,11.4,1.0,10.0
13,1977-1978,Marvin Barnes,PF,25,23-26,DET,12,,22.4,4.4,9.8,0.449,,,0.0,4.4,9.8,0.449,0.449,1.2,2.4,0.483,2.3,5.3,7.6,1.6,0.6,0.9,2.4,3.6,10.0,0.67,8.1
13,1977-1978,Marvin Barnes,PF,25,23-26,BUF,48,,28.7,4.7,11.3,0.416,,,0.0,4.7,11.3,0.416,0.416,2.4,3.2,0.745,2.2,5.0,7.3,2.4,1.2,1.5,2.2,4.1,11.8,1.09,10.5
14,1977-1978,Rick Barry,SF,33,31-34,GSW,82,82.0,36.9,9.3,20.6,0.451,,,0.0,9.3,20.6,0.451,0.451,4.6,5.0,0.924,0.9,4.6,5.5,5.4,1.9,0.5,2.7,2.3,23.1,2.0,19.7
15,1977-1978,Tim Bassett,PF,26,23-26,NJN,65,,22.7,2.3,5.9,0.388,,,0.0,2.3,5.9,0.388,0.388,0.8,1.5,0.515,2.2,4.0,6.2,1.0,1.0,0.5,1.2,2.8,5.4,0.83,5.8
16,1977-1978,Butch Beard,PG,30,27-30,NYK,79,37.0,25.1,3.9,7.8,0.502,,,0.0,3.9,7.8,0.502,0.502,1.6,2.0,0.806,1.0,2.4,3.3,4.3,1.5,0.0,1.9,2.5,9.4,2.26,9.8
17,1977-1978,Ron Behagen,PF,27,27-30,TOT,80,,21.7,4.3,10.1,0.43,,,0.0,4.3,10.1,0.43,0.43,2.2,3.1,0.725,2.5,3.9,6.4,1.3,0.8,0.4,2.2,3.3,10.9,0.59,7.6
17,1977-1978,Ron Behagen,PF,27,27-30,ATL,26,,22.0,4.5,9.6,0.47,,,0.0,4.5,9.6,0.47,0.47,2.0,2.7,0.729,2.0,4.6,6.7,1.3,1.2,0.5,2.2,3.7,11.0,0.59,9.0
17,1977-1978,Ron Behagen,PF,27,27-30,HOU,3,,11.0,2.3,3.7,0.636,,,0.0,2.3,3.7,0.636,0.636,0.0,0.3,0.0,0.7,1.7,2.3,0.7,0.0,0.0,1.0,2.0,4.7,0.7,3.0
17,1977-1978,Ron Behagen,PF,27,27-30,IND,51,,22.2,4.4,10.7,0.408,,,0.0,4.4,10.7,0.408,0.408,2.5,3.5,0.727,2.9,3.7,6.5,1.3,0.6,0.4,2.2,3.1,11.2,0.59,7.4
18,1977-1978,Mel Bennett,PF,23,23-26,IND,31,,9.2,0.7,2.6,0.284,,,0.0,0.7,2.6,0.284,0.284,0.9,1.5,0.622,1.6,1.4,3.0,0.7,0.4,0.2,1.0,1.7,2.4,0.7,1.5
19,1977-1978,Kent Benson,C,23,23-26,MIL,69,,18.7,3.2,6.9,0.465,,,0.0,3.2,6.9,0.465,0.465,1.3,2.0,0.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7,0.82,6.5
20,1977-1978,Henry Bibby,PG,28,27-30,PHI,82,82.0,30.7,3.5,8.0,0.434,,,0.0,3.5,8.0,0.434,0.434,2.1,2.7,0.781,0.8,2.3,3.1,5.7,1.1,0.1,1.9,2.5,9.1,3.0,9.6
21,1977-1978,Bob Bigelow,SF,24,23-26,TOT,5,,4.8,0.8,2.6,0.308,,,0.0,0.8,2.6,0.308,0.308,0.0,0.0,0.0,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6,-1.0,1.0
21,1977-1978,Bob Bigelow,SF,24,23-26,KCK,1,,7.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0,5.0
21,1977-1978,Bob Bigelow,SF,24,23-26,BOS,4,,4.3,0.8,3.0,0.25,,,0.0,0.8,3.0,0.25,0.25,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5,-1.0,0.0
22,1977-1978,Dave Bing,PG,34,31-34,BOS,80,,28.2,5.3,11.8,0.449,,,0.0,5.3,11.8,0.449,0.449,3.1,3.7,0.824,1.0,1.7,2.7,3.8,1.0,0.2,2.7,3.1,13.6,1.41,8.4
23,1977-1978,Otis Birdsong,SG,22,18-22,KCK,73,,25.7,6.4,13.1,0.492,,,0.0,6.4,13.1,0.492,0.492,3.0,4.2,0.697,1.0,1.4,2.4,2.4,1.0,0.2,2.0,2.5,15.8,1.2,9.4
24,1977-1978,Tom Boerwinkle,C,32,31-34,CHI,22,0.0,10.3,1.0,2.3,0.46,,,0.0,1.0,2.3,0.46,0.46,0.5,0.6,0.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5,1.67,3.3
25,1977-1978,Phil Bond,SG,23,23-26,HOU,7,,3.0,0.3,0.9,0.333,,,0.0,0.3,0.9,0.333,0.333,0.0,0.0,0.0,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.1,0.6,1.0,0.6
26,1977-1978,Ron Boone,SG,31,31-34,KCK,82,,32.4,6.9,15.5,0.443,,,0.0,6.9,15.5,0.443,0.443,3.9,4.6,0.854,1.4,1.9,3.3,3.8,1.3,0.1,3.7,2.8,17.7,1.03,10.4
27,1977-1978,Jim Bostic,PF,25,23-26,DET,4,,12.0,3.0,5.5,0.545,,,0.0,3.0,5.5,0.545,0.545,0.5,1.3,0.4,2.0,2.0,4.0,0.8,0.0,0.0,0.8,1.3,6.5,1.0,5.9
28,1977-1978,Tom Boswell,PF,24,23-26,BOS,65,,17.7,2.8,5.5,0.518,,,0.0,2.8,5.5,0.518,0.518,1.4,1.9,0.756,1.8,2.6,4.4,1.1,0.4,0.2,1.5,3.1,7.1,0.73,5.4
29,1977-1978,Freddie Boyd,SG,27,27-30,NOJ,21,,17.3,2.1,5.2,0.4,,,0.0,2.1,5.2,0.4,0.4,0.7,1.0,0.636,0.1,0.8,0.9,2.3,0.4,0.1,1.0,1.1,4.9,2.3,3.1
