ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1984-1985,Kareem Abdul-Jabbar,C,37,35-38,LAL,79,79,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,1.28,23.1
2,1984-1985,Alvan Adams,PF,30,27-30,PHO,82,69,26.0,5.8,11.2,0.52,0.0,0.0,0.0,5.8,11.2,0.52,0.52,3.0,3.5,0.883,1.9,4.2,6.1,3.8,1.4,0.6,2.4,3.1,14.7,1.58,15.2
3,1984-1985,Mark Aguirre,SF,25,23-26,DAL,80,79,33.7,9.9,19.6,0.506,0.3,1.1,0.318,9.6,18.6,0.517,0.515,5.5,7.3,0.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7,0.97,18.1
4,1984-1985,Danny Ainge,SG,25,23-26,BOS,75,73,34.2,5.6,10.6,0.529,0.2,0.7,0.268,5.4,9.8,0.549,0.539,1.6,1.8,0.868,1.0,2.6,3.6,5.3,1.6,0.1,2.0,3.0,12.9,2.65,13.3
5,1984-1985,Chuck Aleksinas,C,25,23-26,GSW,74,4,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,0.5,3.6
6,1984-1985,J.J. Anderson,SF,24,23-26,UTA,44,0,10.4,1.4,3.4,0.409,0.0,0.0,0.0,1.4,3.3,0.415,0.409,0.6,1.0,0.6,0.7,1.2,1.9,0.5,0.7,0.2,0.7,1.6,3.4,0.71,2.0
7,1984-1985,Ron Anderson,SF,26,23-26,CLE,36,7,14.4,2.3,5.4,0.431,0.0,0.1,0.5,2.3,5.4,0.43,0.433,1.1,1.4,0.82,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1.1,5.8,1.0,4.2
8,1984-1985,John Bagley,PG,24,23-26,CLE,81,65,29.6,4.2,8.6,0.488,0.0,0.3,0.115,4.1,8.2,0.502,0.49,1.5,2.1,0.749,0.7,2.9,3.6,8.6,1.6,0.1,2.6,1.6,9.9,3.31,14.6
9,1984-1985,James Bailey,PF,27,27-30,NYK,74,28,17.5,2.1,4.7,0.447,0.0,0.0,0.0,2.1,4.7,0.448,0.447,1.0,1.5,0.676,1.6,3.0,4.6,0.5,0.4,0.7,1.4,3.9,5.2,0.36,3.0
10,1984-1985,Thurl Bailey,PF,23,23-26,UTA,80,68,31.0,6.3,12.9,0.49,0.0,0.0,1.0,6.3,12.9,0.49,0.491,2.5,2.9,0.842,1.9,4.7,6.6,1.7,0.6,1.3,1.9,2.7,15.2,0.89,13.8
11,1984-1985,Greg Ballard,SF,30,27-30,WSB,82,77,32.5,5.7,11.9,0.48,0.2,0.6,0.304,5.5,11.4,0.488,0.487,1.5,1.8,0.795,1.8,4.6,6.5,2.5,1.2,0.4,1.3,2.7,13.1,1.92,13.2
12,1984-1985,Gene Banks,SF,25,23-26,SAS,82,41,25.5,3.5,6.0,0.586,0.0,0.0,0.333,3.5,6.0,0.588,0.587,2.4,3.1,0.774,1.6,3.8,5.4,2.9,0.8,0.2,1.7,2.7,9.5,1.71,11.2
13,1984-1985,Ken Bannister,PF,24,23-26,NYK,75,50,18.7,2.8,5.9,0.47,0.0,0.0,0.0,2.8,5.9,0.47,0.47,1.2,2.6,0.474,1.4,3.0,4.4,0.5,0.5,0.5,1.9,3.7,6.8,0.26,2.6
