ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1967-1968,Bud Acton,SF,26,23-26,SDR,23,,8.5,1.3,3.2,0.392,,,0.0,1.3,3.2,0.392,0.392,0.8,1.3,0.655,,,2.0,0.5,,,,1.5,3.3,-1.0,1.9
2,1967-1968,Henry Akin,C,23,23-26,SEA,36,,7.2,1.3,3.8,0.336,,,0.0,1.3,3.8,0.336,0.336,0.6,0.9,0.645,,,1.6,0.4,,,,1.3,3.1,-1.0,1.0
3,1967-1968,Cliff Anderson,SG,23,23-26,LAL,18,,5.2,0.4,1.6,0.241,,,0.0,0.4,1.6,0.241,0.241,0.7,1.6,0.429,,,0.6,0.9,,,,1.0,1.4,-1.0,-0.2
4,1967-1968,Al Attles,PG,31,31-34,SFW,67,,29.7,3.8,8.1,0.467,,,0.0,3.8,8.1,0.467,0.467,2.2,3.2,0.694,,,4.1,5.8,,,,4.2,9.8,-1.0,10.2
5,1967-1968,Jim Barnes,PF,26,23-26,TOT,79,,18.0,2.8,6.3,0.443,,,0.0,2.8,6.3,0.443,0.443,1.7,2.4,0.696,,,5.3,0.7,,,,3.3,7.3,-1.0,5.8
5,1967-1968,Jim Barnes,PF,26,23-26,LAL,42,,17.0,2.4,5.6,0.43,,,0.0,2.4,5.6,0.43,0.43,1.4,2.1,0.67,,,5.0,0.6,,,,3.2,6.2,-1.0,4.7
5,1967-1968,Jim Barnes,PF,26,23-26,CHI,37,,19.2,3.2,7.1,0.455,,,0.0,3.2,7.1,0.455,0.455,2.0,2.8,0.718,,,5.5,0.8,,,,3.5,8.5,-1.0,6.6
6,1967-1968,Dick Barnett,SG,31,31-34,NYK,81,81.0,30.7,6.9,14.3,0.482,,,0.0,6.9,14.3,0.482,0.482,4.2,5.4,0.78,,,2.9,3.0,,,,2.7,18.0,-1.0,12.6
7,1967-1968,Jim Barnett,SG,23,23-26,SDR,47,,22.7,3.8,9.7,0.393,,,0.0,3.8,9.7,0.393,0.393,1.8,2.5,0.712,,,3.3,2.9,,,,2.1,9.4,-1.0,6.9
8,1967-1968,John Barnhill,PG,29,27-30,SDR,75,,25.1,3.9,9.3,0.421,,,0.0,3.9,9.3,0.421,0.421,2.1,3.1,0.658,,,2.3,3.5,,,,1.9,9.9,-1.0,7.4
9,1967-1968,Elgin Baylor,SF,33,31-34,LAL,77,,39.3,9.8,22.2,0.443,,,0.0,9.8,22.2,0.443,0.443,6.3,8.1,0.786,,,12.2,4.6,,,,3.0,26.0,-1.0,25.6
10,1967-1968,Zelmo Beaty,C,28,27-30,STL,82,,37.4,7.8,16.0,0.488,,,0.0,7.8,16.0,0.488,0.488,5.5,7.0,0.794,,,11.7,2.1,,,,3.6,21.1,-1.0,21.6
11,1967-1968,Walt Bellamy,C,28,27-30,NYK,82,64.0,32.9,6.2,11.5,0.541,,,0.0,6.2,11.5,0.541,0.541,4.3,6.5,0.662,,,11.7,2.0,,,,3.2,16.7,-1.0,19.7
12,1967-1968,Dave Bing,PG,24,23-26,DET,79,,40.6,10.6,24.0,0.441,,,0.0,10.6,24.0,0.441,0.441,6.0,8.5,0.707,,,4.7,6.4,,,,3.2,27.1,-1.0,19.1
13,1967-1968,John Block,C,23,23-26,SDR,52,,34.7,7.0,16.6,0.423,,,0.0,7.0,16.6,0.423,0.423,6.1,7.6,0.802,,,11.0,1.4,,,,3.6,20.2,-1.0,17.9
14,1967-1968,Bob Boozer,PF,30,27-30,CHI,77,,38.8,8.1,16.4,0.492,,,0.0,8.1,16.4,0.492,0.492,5.3,6.9,0.768,,,9.8,1.6,,,,3.0,21.5,-1.0,20.0
15,1967-1968,Nate Bowman,C,24,23-26,NYK,42,0.0,6.5,1.2,3.2,0.388,,,0.0,1.2,3.2,0.388,0.388,0.2,0.4,0.667,,,2.7,0.5,,,,1.6,2.7,-1.0,2.1
16,1967-1968,Bill Bradley,SF,24,23-26,NYK,45,11.0,19.4,3.2,7.6,0.416,,,0.0,3.2,7.6,0.416,0.416,1.7,2.3,0.731,,,2.5,3.0,,,,3.1,8.0,-1.0,5.4
