ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1963-1964,Jay Arnette,PG,25,23-26,CIN,48,,10.4,1.5,4.1,0.362,,,0.0,1.5,4.1,0.362,0.362,0.9,1.1,0.778,,,1.1,1.5,,,,2.2,3.8,-1.0,1.4
2,1963-1964,Al Attles,PG,27,27-30,SFW,70,,26.9,4.1,9.1,0.452,,,0.0,4.1,9.1,0.452,0.452,2.6,3.9,0.673,,,3.4,2.8,,,,3.6,10.9,-1.0,7.2
3,1963-1964,Dick Barnett,SG,27,27-30,LAL,78,,33.6,6.9,15.3,0.452,,,0.0,6.9,15.3,0.452,0.452,4.5,5.8,0.773,,,3.2,3.1,,,,3.0,18.4,-1.0,12.0
4,1963-1964,John Barnhill,SG,25,23-26,STL,74,,18.5,2.8,6.8,0.412,,,0.0,2.8,6.8,0.412,0.412,0.9,1.6,0.609,,,2.1,2.0,,,,1.4,6.6,-1.0,4.6
5,1963-1964,Elgin Baylor,SF,29,27-30,LAL,78,,40.6,9.7,22.8,0.425,,,0.0,9.7,22.8,0.425,0.425,6.0,7.5,0.804,,,12.0,4.4,,,,3.0,25.4,-1.0,24.2
6,1963-1964,Zelmo Beaty,C,24,23-26,STL,59,,32.6,4.9,11.0,0.444,,,0.0,4.9,11.0,0.444,0.444,3.4,4.6,0.741,,,10.7,1.3,,,,4.4,13.1,-1.0,13.4
7,1963-1964,Walt Bellamy,C,24,23-26,BAL,80,,42.4,10.1,19.8,0.513,,,0.0,10.1,19.8,0.513,0.513,6.7,10.3,0.651,,,17.0,1.6,,,,3.8,27.0,-1.0,28.5
8,1963-1964,Al Bianchi,PG,31,31-34,PHI,78,,18.4,3.3,8.8,0.376,,,0.0,3.3,8.8,0.376,0.376,1.4,1.8,0.773,,,1.9,1.9,,,,3.2,8.0,-1.0,2.7
9,1963-1964,Bucky Bockhorn,SG,30,27-30,CIN,70,,23.9,3.5,8.4,0.412,,,0.0,3.5,8.4,0.412,0.412,1.4,1.8,0.762,,,2.9,2.5,,,,3.2,8.3,-1.0,5.2
10,1963-1964,Bob Boozer,SF,26,23-26,TOT,81,,29.4,5.8,13.5,0.427,,,0.0,5.8,13.5,0.427,0.427,3.4,4.6,0.723,,,7.4,1.2,,,,2.9,14.9,-1.0,11.7
10,1963-1964,Bob Boozer,SF,26,23-26,CIN,32,,22.7,4.3,10.4,0.416,,,0.0,4.3,10.4,0.416,0.416,2.3,3.7,0.622,,,5.6,1.0,,,,2.6,11.0,-1.0,7.5
10,1963-1964,Bob Boozer,SF,26,23-26,NYK,49,,33.7,6.7,15.6,0.432,,,0.0,6.7,15.6,0.432,0.432,4.0,5.2,0.77,,,8.5,1.3,,,,3.0,17.5,-1.0,14.2
11,1963-1964,Bill Bridges,PF,24,23-26,STL,80,,24.4,3.4,8.4,0.397,,,0.0,3.4,8.4,0.397,0.397,1.8,2.8,0.652,,,8.5,2.3,,,,3.4,8.5,-1.0,9.9
12,1963-1964,Dave Budd,SF,25,23-26,NYK,73,,14.1,1.8,4.1,0.431,,,0.0,1.8,4.1,0.431,0.431,1.2,1.6,0.73,,,3.8,0.8,,,,1.8,4.7,-1.0,4.8
13,1963-1964,Donnie Butcher,PG,27,27-30,TOT,78,,25.3,2.6,6.5,0.398,,,0.0,2.6,6.5,0.398,0.398,2.0,3.3,0.621,,,4.2,3.1,,,,3.2,7.2,-1.0,6.1
13,1963-1964,Donnie Butcher,G,27,27-30,NYK,26,,16.1,1.4,4.4,0.322,,,0.0,1.4,4.4,0.322,0.322,1.6,2.5,0.636,,,2.6,2.5,,,,2.0,4.5,-1.0,3.7
13,1963-1964,Donnie Butcher,PG,27,27-30,DET,52,,29.9,3.2,7.5,0.421,,,0.0,3.2,7.5,0.421,0.421,2.3,3.7,0.616,,,5.0,3.4,,,,3.8,8.6,-1.0,7.5
14,1963-1964,Al Butler,PG,25,23-26,NYK,76,,18.1,3.4,8.1,0.422,,,0.0,3.4,8.1,0.422,0.422,1.8,2.5,0.738,,,2.2,2.1,,,,2.2,8.7,-1.0,5.4
15,1963-1964,Barney Cable,SF,28,27-30,BAL,71,,15.8,1.6,4.1,0.4,,,0.0,1.6,4.1,0.4,0.4,0.4,0.6,0.667,,,4.2,0.7,,,,2.3,3.7,-1.0,3.6
