ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1969-1970,Zaid Abdul-Aziz,PF,23,23-26,MIL,80,,20.5,3.0,6.8,0.434,,,0.0,3.0,6.8,0.434,0.434,1.5,2.3,0.643,,,7.5,0.8,,,,2.1,7.4,-1.0,9.0
2,1969-1970,Kareem Abdul-Jabbar,C,22,18-22,MIL,82,,43.1,11.4,22.1,0.518,,,0.0,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,-1.0,30.0
3,1969-1970,Rick Adelman,PG,23,23-26,SDR,35,,20.5,2.7,7.1,0.389,,,0.0,2.7,7.1,0.389,0.389,1.9,2.6,0.747,,,2.3,3.2,,,,2.6,7.4,-1.0,5.2
4,1969-1970,Lucius Allen,PG,22,18-22,SEA,81,,22.4,3.8,8.5,0.442,,,0.0,3.8,8.5,0.442,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8,-1.0,8.5
5,1969-1970,Wally Anderzunas,SF,24,23-26,CIN,44,,8.4,1.5,3.8,0.392,,,0.0,1.5,3.8,0.392,0.392,0.7,1.0,0.63,,,1.9,0.2,,,,1.1,3.6,-1.0,2.0
6,1969-1970,John Arthurs,G,22,18-22,MIL,11,,7.8,1.1,3.2,0.343,,,0.0,1.1,3.2,0.343,0.343,1.0,1.4,0.733,,,1.3,1.5,,,,1.4,3.2,-1.0,2.1
7,1969-1970,Al Attles,PG,33,31-34,SFW,45,,15.0,1.7,4.5,0.386,,,0.0,1.7,4.5,0.386,0.386,1.7,2.5,0.664,,,1.6,3.2,,,,2.3,5.1,-1.0,4.0
8,1969-1970,Jim Barnes,C,28,27-30,BOS,77,,13.6,2.3,5.6,0.41,,,0.0,2.3,5.6,0.41,0.41,1.2,1.7,0.742,,,4.5,0.7,,,,3.0,5.9,-1.0,4.3
9,1969-1970,Dick Barnett,SG,33,31-34,NYK,82,82.0,33.8,6.0,12.7,0.475,,,0.0,6.0,12.7,0.475,0.475,2.8,4.0,0.714,,,2.7,3.6,,,,2.7,14.9,-1.0,10.6
10,1969-1970,Jim Barnett,SG,25,23-26,SDR,80,,26.3,5.6,12.5,0.451,,,0.0,5.6,12.5,0.451,0.451,3.6,4.6,0.79,,,3.8,3.6,,,,2.8,14.9,-1.0,11.6
11,1969-1970,Johnny Baum,SF,23,23-26,CHI,3,,4.3,1.0,3.7,0.273,,,0.0,1.0,3.7,0.273,0.273,0.0,0.0,0.0,,,1.3,0.0,,,,0.3,2.0,-1.0,0.3
12,1969-1970,Elgin Baylor,SF,35,35-38,LAL,54,,41.0,9.5,19.5,0.486,,,0.0,9.5,19.5,0.486,0.486,5.1,6.6,0.773,,,10.4,5.4,,,,2.4,24.0,-1.0,25.9
13,1969-1970,Butch Beard,PG,22,18-22,ATL,72,,13.1,2.5,5.4,0.467,,,0.0,2.5,5.4,0.467,0.467,1.9,2.3,0.828,,,1.9,1.7,,,,1.7,7.0,-1.0,5.6
14,1969-1970,Walt Bellamy,C,30,27-30,TOT,79,,25.7,4.4,8.5,0.523,,,0.0,4.4,8.5,0.523,0.523,2.7,4.7,0.576,,,8.9,1.8,,,,3.3,11.6,-1.0,12.9
14,1969-1970,Walt Bellamy,C,30,27-30,DET,56,,20.9,3.8,6.9,0.547,,,0.0,3.8,6.9,0.547,0.547,2.5,4.4,0.562,,,7.1,1.0,,,,2.9,10.0,-1.0,10.2
14,1969-1970,Walt Bellamy,C,30,27-30,ATL,23,,37.2,6.1,12.5,0.491,,,0.0,6.1,12.5,0.491,0.491,3.3,5.4,0.605,,,13.5,3.8,,,,4.2,15.5,-1.0,20.1
15,1969-1970,Dave Bing,PG,26,23-26,DET,70,,33.3,8.2,18.5,0.444,,,0.0,8.2,18.5,0.444,0.444,6.5,8.3,0.783,,,4.3,6.0,,,,2.8,22.9,-1.0,18.3
