ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1966-1967,Henry Akin,PF,22,18-22,NYK,50,0.0,9.1,1.7,4.6,0.361,,,0.0,1.7,4.6,0.361,0.361,0.5,0.7,0.703,,,2.4,0.5,,,,1.6,3.8,-1.0,2.0
2,1966-1967,Al Attles,PG,30,27-30,SFW,69,,25.6,3.1,6.8,0.454,,,0.0,3.1,6.8,0.454,0.454,1.3,2.2,0.583,,,4.7,3.9,,,,3.8,7.4,-1.0,7.6
3,1966-1967,Johnny Austin,SG,22,18-22,BAL,4,,15.3,1.3,5.5,0.227,,,0.0,1.3,5.5,0.227,0.227,3.3,4.0,0.813,,,1.8,1.0,,,,3.0,5.8,-1.0,0.7
4,1966-1967,Jim Barnes,PF,25,23-26,LAL,80,,17.5,2.7,6.2,0.437,,,0.0,2.7,6.2,0.437,0.437,1.6,2.3,0.684,,,5.6,0.6,,,,3.3,7.0,-1.0,5.7
5,1966-1967,Dick Barnett,SG,30,27-30,NYK,67,43.0,29.4,6.8,14.2,0.478,,,0.0,6.8,14.2,0.478,0.478,3.4,4.4,0.783,,,3.4,2.4,,,,2.8,17.0,-1.0,11.6
6,1966-1967,Jim Barnett,SG,22,18-22,BOS,48,,8.0,1.6,4.4,0.37,,,0.0,1.6,4.4,0.37,0.37,0.9,1.3,0.677,,,1.1,0.9,,,,1.3,4.1,-1.0,1.6
7,1966-1967,John Barnhill,PG,28,27-30,BAL,53,,22.9,3.5,8.4,0.418,,,0.0,3.5,8.4,0.418,0.418,1.2,1.9,0.641,,,3.0,2.6,,,,1.5,8.3,-1.0,6.8
8,1966-1967,Rick Barry,SF,22,18-22,SFW,78,,40.7,13.0,28.7,0.451,,,0.0,13.0,28.7,0.451,0.451,9.7,10.9,0.884,,,9.2,3.6,,,,3.3,35.6,-1.0,28.2
9,1966-1967,Elgin Baylor,SF,32,31-34,LAL,70,,38.7,10.2,23.7,0.429,,,0.0,10.2,23.7,0.429,0.429,6.3,7.7,0.813,,,12.8,3.1,,,,3.0,26.6,-1.0,24.6
10,1966-1967,Zelmo Beaty,C,27,27-30,STL,48,,34.6,6.8,14.5,0.473,,,0.0,6.8,14.5,0.473,0.473,4.1,5.4,0.758,,,10.7,1.3,,,,3.9,17.8,-1.0,16.9
11,1966-1967,Walt Bellamy,C,27,27-30,NYK,79,78.0,38.1,7.2,13.7,0.521,,,0.0,7.2,13.7,0.521,0.521,4.7,7.3,0.636,,,13.5,2.6,,,,3.5,19.0,-1.0,22.5
