ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1974-1975,Zaid Abdul-Aziz,C,28,27-30,HOU,65,,22.3,3.6,8.3,0.437,,,0.0,3.6,8.3,0.437,0.437,2.4,3.1,0.783,2.4,5.1,7.5,1.3,0.6,1.1,,2.0,9.7,-1.0,12.8
2,1974-1975,Kareem Abdul-Jabbar,C,27,27-30,MIL,65,,42.3,12.5,24.4,0.513,,,0.0,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0,-1.0,35.7
3,1974-1975,Don Adams,SF,27,27-30,DET,51,,27.0,2.5,6.2,0.403,,,0.0,2.5,6.2,0.403,0.403,0.9,1.5,0.577,1.2,3.5,4.8,1.5,1.4,0.4,,3.5,5.9,-1.0,6.2
4,1974-1975,Rick Adelman,PG,28,27-30,TOT,58,,18.5,2.1,5.0,0.423,,,0.0,2.1,5.0,0.423,0.423,1.3,1.8,0.709,0.4,1.2,1.6,1.9,1.2,0.1,,1.7,5.5,-1.0,5.2
4,1974-1975,Rick Adelman,PG,28,27-30,CHI,12,8.0,28.3,3.6,8.7,0.413,,,0.0,3.6,8.7,0.413,0.413,2.3,3.3,0.718,0.5,1.7,2.2,2.9,1.3,0.1,,2.6,9.5,-1.0,7.3
4,1974-1975,Rick Adelman,PG,28,27-30,NOJ,28,,21.9,2.4,5.7,0.421,,,0.0,2.4,5.7,0.421,0.421,1.5,2.1,0.695,0.5,1.5,2.0,2.5,1.7,0.2,,2.1,6.3,-1.0,6.7
4,1974-1975,Rick Adelman,PG,28,27-30,KCO,18,,6.7,0.7,1.6,0.464,,,0.0,0.7,1.6,0.464,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,,0.7,1.7,-1.0,1.7
5,1974-1975,Lucius Allen,PG,27,27-30,TOT,66,,35.7,7.7,17.7,0.437,,,0.0,7.7,17.7,0.437,0.437,3.6,4.6,0.778,1.4,2.8,4.2,5.6,2.1,0.4,,3.3,19.1,-1.0,17.1
5,1974-1975,Lucius Allen,PG,27,27-30,MIL,10,,34.2,6.8,16.4,0.415,,,0.0,6.8,16.4,0.415,0.415,3.1,3.7,0.838,0.9,2.2,3.1,5.3,1.4,0.1,,2.3,16.7,-1.0,14.1
5,1974-1975,Lucius Allen,PG,27,27-30,LAL,56,,35.9,7.9,18.0,0.44,,,0.0,7.9,18.0,0.44,0.44,3.7,4.8,0.77,1.4,3.0,4.4,5.7,2.2,0.5,,3.5,19.5,-1.0,17.6
6,1974-1975,Dan Anderson,SG,24,23-26,POR,43,,10.5,1.1,2.4,0.448,,,0.0,1.1,2.4,0.448,0.448,0.6,0.7,0.867,0.2,0.5,0.7,1.9,0.4,0.0,,1.0,2.8,-1.0,3.4
7,1974-1975,Tiny Archibald,PG,26,23-26,KCO,82,,39.6,9.3,20.3,0.456,,,0.0,9.3,20.3,0.456,0.456,8.0,9.1,0.872,0.6,2.1,2.7,6.8,1.5,0.1,,2.3,26.5,-1.0,23.2
8,1974-1975,Jim Ard,C,26,23-26,BOS,59,,12.2,1.5,4.5,0.335,,,0.0,1.5,4.5,0.335,0.335,0.8,1.1,0.738,1.0,2.4,3.4,0.7,0.2,0.5,,1.6,3.8,-1.0,3.7
9,1974-1975,Dennis Awtrey,C,26,23-26,PHO,82,,34.6,4.1,8.8,0.47,,,0.0,4.1,8.8,0.47,0.47,1.6,2.4,0.677,3.0,5.6,8.6,4.2,0.7,0.6,,2.8,9.9,-1.0,15.7
10,1974-1975,Gus Bailey,SG,23,23-26,HOU,47,,9.5,1.1,2.7,0.405,,,0.0,1.1,2.7,0.405,0.405,0.4,0.9,0.488,0.5,1.3,1.7,1.3,0.4,0.3,,1.1,2.6,-1.0,3.1
