ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1982-1983,Kareem Abdul-Jabbar,C,35,35-38,LAL,79,79,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,1.0,21.9
2,1982-1983,Alvan Adams,C,28,27-30,PHO,80,75,30.6,6.0,12.3,0.486,0.0,0.0,0.333,6.0,12.2,0.487,0.487,2.3,2.7,0.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2,1.57,14.8
3,1982-1983,Mark Aguirre,SF,23,23-26,DAL,81,75,34.4,9.5,19.6,0.483,0.2,0.9,0.211,9.3,18.7,0.496,0.488,5.3,7.3,0.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4,1.28,17.8
4,1982-1983,Danny Ainge,SG,23,23-26,BOS,80,76,25.6,4.5,9.0,0.496,0.1,0.4,0.172,4.4,8.6,0.509,0.499,0.9,1.2,0.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9,2.58,8.0
5,1982-1983,Dwight Anderson,PG,22,18-22,DEN,5,0,6.6,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.5,0.5,1.4,2.0,0.7,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,0.6,1.0
6,1982-1983,J.J. Anderson,SF,22,18-22,TOT,65,2,18.5,2.9,5.8,0.501,0.0,0.1,0.0,2.9,5.8,0.507,0.501,1.5,2.7,0.571,1.8,2.7,4.5,1.0,1.0,0.3,1.2,2.4,7.4,0.83,6.5
6,1982-1983,J.J. Anderson,SF,22,18-22,PHI,13,0,3.7,0.6,1.7,0.364,0.0,0.1,0.0,0.6,1.6,0.381,0.364,0.1,0.2,0.333,0.3,0.6,0.9,0.1,0.1,0.0,0.4,0.5,1.3,0.25,0.3
6,1982-1983,J.J. Anderson,SF,22,18-22,UTA,52,2,22.2,3.5,6.9,0.51,0.0,0.1,0.0,3.5,6.8,0.514,0.51,1.9,3.3,0.576,2.2,3.2,5.4,1.3,1.2,0.4,1.4,2.8,8.9,0.93,8.2
7,1982-1983,Richard Anderson,C,22,18-22,SDC,78,5,16.3,2.2,5.5,0.404,0.1,0.2,0.368,2.1,5.3,0.405,0.412,0.6,0.9,0.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2,1.25,4.2
8,1982-1983,Tiny Archibald,PG,34,31-34,BOS,66,19,27.4,3.6,8.4,0.425,0.1,0.4,0.208,3.5,8.0,0.435,0.429,3.3,4.5,0.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5,2.48,8.6
9,1982-1983,John Bagley,PG,22,18-22,CLE,68,3,14.6,2.4,5.5,0.432,0.0,0.2,0.0,2.4,5.3,0.448,0.432,0.9,1.2,0.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7,1.47,4.3
10,1982-1983,James Bailey,PF,25,23-26,TOT,75,39,23.5,5.1,10.3,0.497,0.0,0.0,0.0,5.1,10.3,0.498,0.497,3.0,4.3,0.702,2.3,4.0,6.3,0.9,0.6,0.8,2.6,3.6,13.3,0.35,9.2
10,1982-1983,James Bailey,PF,25,23-26,NJN,6,0,8.3,1.5,3.0,0.5,0.0,0.0,0.0,1.5,3.0,0.5,0.5,0.3,0.3,1.0,0.5,0.5,1.0,0.3,0.2,0.2,1.0,2.5,3.3,0.3,0.0
10,1982-1983,James Bailey,PF,25,23-26,HOU,69,39,24.9,5.4,11.0,0.497,0.0,0.0,0.0,5.4,10.9,0.498,0.497,3.2,4.6,0.7,2.4,4.3,6.8,0.9,0.6,0.9,2.8,3.7,14.1,0.32,9.8
11,1982-1983,Greg Ballard,SF,28,27-30,WSB,78,78,36.4,7.7,16.3,0.473,0.2,0.5,0.351,7.6,15.9,0.477,0.478,2.3,3.0,0.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,2.3,18.0,1.7,16.3
12,1982-1983,Gene Banks,PF,23,23-26,SAS,81,81,33.6,6.2,11.3,0.55,0.0,0.1,0.0,6.2,11.3,0.553,0.55,2.4,3.4,0.705,2.7,4.8,7.6,3.4,1.0,0.3,2.1,2.8,14.9,1.62,16.2
13,1982-1983,Billy Ray Bates,SG,26,23-26,TOT,19,3,16.0,2.9,7.6,0.379,0.1,0.3,0.4,2.8,7.4,0.379,0.386,0.6,1.2,0.5,0.6,0.4,1.0,0.7,0.7,0.2,0.6,1.0,6.5,1.17,2.2
13,1982-1983,Billy Ray Bates,SG,26,23-26,WSB,15,3,18.5,3.5,8.6,0.411,0.1,0.3,0.4,3.4,8.3,0.411,0.419,0.7,1.3,0.5,0.7,0.5,1.2,0.9,0.9,0.2,0.8,1.2,7.9,1.12,3.4
13,1982-1983,Billy Ray Bates,SG,26,23-26,LAL,4,0,6.8,0.5,4.0,0.125,0.0,0.0,0.0,0.5,4.0,0.125,0.125,0.3,0.5,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.3,-1.0,-2.1
14,1982-1983,Dave Batton,C,26,23-26,WSB,54,5,10.3,1.6,3.5,0.445,0.0,0.1,0.0,1.6,3.5,0.452,0.445,0.1,0.3,0.471,0.8,1.4,2.2,0.5,0.3,0.2,0.5,1.0,3.3,1.0,2.9
15,1982-1983,Kent Benson,C,28,27-30,DET,21,15,28.5,4.0,8.7,0.467,0.0,0.0,0.0,4.0,8.6,0.47,0.467,1.8,2.4,0.76,2.5,4.9,7.4,2.3,0.7,0.8,1.7,2.9,9.9,1.35,11.2
16,1982-1983,Larry Bird,PF,26,23-26,BOS,79,79,37.7,9.5,18.7,0.504,0.3,1.0,0.286,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,1.93,27.6
17,1982-1983,Otis Birdsong,SG,27,27-30,NJN,62,54,30.4,6.9,13.5,0.511,0.0,0.1,0.333,6.8,13.4,0.512,0.512,1.3,2.3,0.566,0.9,1.6,2.4,3.9,1.4,0.3,1.8,2.5,15.1,2.17,11.2
18,1982-1983,Rolando Blackman,SG,23,23-26,DAL,75,62,31.3,6.8,13.9,0.492,0.0,0.2,0.2,6.8,13.7,0.497,0.494,4.0,5.1,0.78,1.4,2.5,3.9,2.5,0.5,0.4,1.6,1.5,17.7,1.56,13.7
