ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1986-1987,Kareem Abdul-Jabbar,C,39,39+,LAL,78,78,31.3,7.2,12.7,0.564,0.0,0.0,0.333,7.2,12.7,0.565,0.564,3.1,4.4,0.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,1.08,16.3
2,1986-1987,Alvan Adams,C,32,31-34,PHO,68,40,24.9,4.6,9.1,0.503,0.0,0.0,0.0,4.6,9.1,0.504,0.503,2.0,2.5,0.788,1.3,3.6,5.0,3.3,0.9,0.5,2.0,3.0,11.1,1.65,10.8
3,1986-1987,Michael Adams,PG,24,23-26,WSB,63,0,20.7,2.5,6.2,0.407,0.4,1.6,0.275,2.1,4.6,0.454,0.443,1.7,2.0,0.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2,3.0,7.8
4,1986-1987,Rafael Addison,SF,22,18-22,PHO,62,12,11.5,2.4,5.3,0.441,0.3,0.8,0.32,2.1,4.5,0.463,0.465,0.8,1.0,0.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8,0.78,3.5
5,1986-1987,Mark Aguirre,SF,27,27-30,DAL,80,80,33.3,9.8,19.9,0.495,0.7,1.9,0.353,9.2,18.0,0.51,0.512,5.4,7.0,0.77,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7,1.19,18.3
6,1986-1987,Danny Ainge,SG,27,27-30,BOS,71,66,35.2,5.8,11.9,0.486,1.2,2.7,0.443,4.6,9.2,0.498,0.536,2.1,2.3,0.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8,2.8,14.4
7,1986-1987,Mark Alarie,PF,23,23-26,DEN,64,25,17.3,3.4,6.9,0.49,0.0,0.1,0.222,3.4,6.8,0.495,0.492,1.0,1.6,0.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,1.33,5.9
8,1986-1987,Richard Anderson,PF,26,23-26,HOU,51,0,6.1,1.2,2.7,0.424,0.1,0.3,0.25,1.1,2.4,0.447,0.439,0.4,0.6,0.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8,1.5,2.3
9,1986-1987,Ron Anderson,SF,28,27-30,IND,63,0,11.4,2.2,4.7,0.473,0.0,0.1,0.0,2.2,4.6,0.481,0.473,1.3,1.7,0.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8,1.0,4.8
10,1986-1987,John Bagley,PG,26,23-26,CLE,72,67,30.3,4.3,10.2,0.426,0.4,1.4,0.301,3.9,8.7,0.447,0.447,1.6,1.9,0.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7,2.3,10.8
11,1986-1987,James Bailey,PF,29,27-30,NJN,34,2,15.9,3.3,7.0,0.469,0.0,0.0,0.0,3.3,7.0,0.469,0.469,1.7,2.4,0.725,1.4,2.6,4.0,0.6,0.4,0.7,1.6,3.5,8.3,0.37,4.5
12,1986-1987,Thurl Bailey,PF,25,23-26,UTA,81,2,26.6,5.7,12.8,0.447,0.0,0.0,0.0,5.7,12.8,0.448,0.447,2.3,2.9,0.805,1.8,3.5,5.3,1.3,0.5,1.1,1.5,1.9,13.8,0.87,10.9
13,1986-1987,Greg Ballard,SF,32,31-34,GSW,82,7,19.3,3.0,6.9,0.44,0.2,0.5,0.375,2.8,6.4,0.445,0.453,0.8,1.1,0.747,1.2,2.9,4.1,1.3,0.6,0.2,0.9,2.0,7.1,1.44,6.2
14,1986-1987,Gene Banks,SF,27,27-30,CHI,63,39,28.9,4.0,7.3,0.539,0.0,0.1,0.0,4.0,7.3,0.545,0.539,1.8,2.3,0.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7,1.5,10.1
15,1986-1987,Charles Barkley,PF,23,23-26,PHI,68,62,40.3,8.2,13.8,0.594,0.3,1.5,0.202,7.9,12.3,0.643,0.606,6.3,8.3,0.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23.0,1.04,29.8
16,1986-1987,John Battle,SG,24,23-26,ATL,64,8,12.6,2.3,4.9,0.457,0.0,0.2,0.0,2.3,4.8,0.472,0.457,1.5,2.0,0.738,0.3,0.7,0.9,1.9,0.5,0.1,0.9,1.2,6.0,2.11,4.2
17,1986-1987,William Bedford,C,23,23-26,PHO,50,18,19.6,2.8,7.2,0.397,0.0,0.0,0.0,2.8,7.1,0.398,0.397,1.0,1.7,0.581,1.6,3.3,4.9,1.1,0.4,0.7,1.7,2.5,6.7,0.65,4.5
18,1986-1987,Benoit Benjamin,C,22,18-22,LAC,72,61,31.0,4.4,9.9,0.449,0.0,0.0,0.0,4.4,9.9,0.45,0.449,2.6,3.7,0.715,1.9,6.3,8.1,1.9,0.8,2.6,2.6,3.5,11.5,0.73,12.2
19,1986-1987,Kent Benson,C,32,31-34,UTA,73,2,12.3,1.9,4.3,0.443,0.0,0.1,0.286,1.9,4.2,0.447,0.446,0.6,0.8,0.81,1.1,2.1,3.2,0.5,0.5,0.4,0.6,1.9,4.5,0.83,4.0
20,1986-1987,Walter Berry,SF-PF,22,18-22,TOT,63,45,25.2,6.5,12.2,0.531,0.0,0.0,0.0,6.5,12.1,0.533,0.531,3.0,4.6,0.649,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3.1,15.9,0.71,10.9
20,1986-1987,Walter Berry,PF,22,18-22,POR,7,0,2.7,0.9,1.1,0.75,0.0,0.0,0.0,0.9,1.1,0.75,0.75,0.1,0.1,1.0,0.6,0.4,1.0,0.1,0.3,0.0,0.0,1.1,1.9,0.0,2.0
20,1986-1987,Walter Berry,SF,22,18-22,SAS,56,45,28.0,7.2,13.5,0.529,0.0,0.1,0.0,7.2,13.5,0.531,0.529,3.3,5.1,0.648,2.4,3.0,5.4,1.9,0.6,0.7,2.7,3.4,17.6,0.7,12.0
