ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,2019-2020,Steven Adams,C,26,23-26,OKC,63,63,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,1.53,16.6
2,2019-2020,Bam Adebayo,PF,22,18-22,MIA,72,72,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,1.82,21.8
3,2019-2020,LaMarcus Aldridge,C,34,31-34,SAS,53,53,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,1.71,19.0
4,2019-2020,Kyle Alexander,C,23,23-26,MIA,2,0,6.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0
5,2019-2020,Nickeil Alexander-Walker,SG,21,18-22,NOP,47,1,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,1.73,3.8
6,2019-2020,Grayson Allen,SG,24,23-26,MEM,38,0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,1.56,6.7
7,2019-2020,Jarrett Allen,C,21,18-22,BRK,70,64,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,1.45,17.0
8,2019-2020,Kadeem Allen,PG,27,27-30,NYK,10,0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,2.62,4.3
9,2019-2020,Al-Farouq Aminu,PF,29,27-30,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,1.33,5.4
10,2019-2020,Justin Anderson,SG,26,23-26,BRK,10,1,10.7,1.0,3.8,0.263,0.6,2.9,0.207,0.4,0.9,0.444,0.342,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,2.0,1.6
11,2019-2020,Kyle Anderson,SF,26,23-26,MEM,67,28,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,2.4,8.2
12,2019-2020,Ryan Anderson,C,31,31-34,HOU,2,0,7.0,1.0,3.5,0.286,0.5,2.5,0.2,0.5,1.0,0.5,0.357,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,2.0,4.0
13,2019-2020,Giannis Antetokounmpo,PF,25,23-26,MIL,63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,1.51,31.4
14,2019-2020,Kostas Antetokounmpo,PF,22,18-22,LAL,5,0,4.0,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.6,1.0,1.0,0.2,0.4,0.5,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,2.0,1.6
15,2019-2020,Thanasis Antetokounmpo,SF,27,27-30,MIL,20,2,6.5,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.5,0.4,0.9,0.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,1.33,2.1
16,2019-2020,Carmelo Anthony,PF,35,35-38,POR,58,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,0.88,11.7
17,2019-2020,OG Anunoby,SF,22,18-22,TOR,69,68,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,1.45,11.5
18,2019-2020,Ryan Arcidiacono,PG,25,23-26,CHI,58,4,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,2.83,4.0
