ranker,season,player,pos,age,age_group,team,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_tov_ratio,efficiency
1,1976-1977,Zaid Abdul-Aziz,C,30,27-30,BUF,22,,8.9,1.1,3.4,0.338,,,0.0,1.1,3.4,0.338,0.338,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,,1.0,3.8,-1.0,4.9
2,1976-1977,Kareem Abdul-Jabbar,C,29,27-30,LAL,82,82.0,36.8,10.8,18.7,0.579,,,0.0,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,,3.2,26.2,-1.0,34.8
3,1976-1977,Tom Abernethy,SF,22,18-22,LAL,70,,19.7,2.4,5.0,0.484,,,0.0,2.4,5.0,0.484,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.7,0.1,,1.7,6.3,-1.0,7.9
4,1976-1977,Alvan Adams,C,22,18-22,PHO,72,,31.6,7.3,15.3,0.474,,,0.0,7.3,15.3,0.474,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,,3.6,18.0,-1.0,21.4
5,1976-1977,Don Adams,SF,29,27-30,BUF,77,,22.2,2.8,6.8,0.411,,,0.0,2.8,6.8,0.411,0.411,1.7,2.2,0.746,1.7,3.1,4.8,1.9,1.0,0.2,,2.6,7.3,-1.0,8.1
6,1976-1977,Lucius Allen,PG,29,27-30,LAL,78,,31.8,6.1,13.3,0.456,,,0.0,6.1,13.3,0.456,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,,2.3,14.6,-1.0,14.5
7,1976-1977,Jerome Anderson,SG,23,23-26,IND,27,,6.1,1.0,2.2,0.441,,,0.0,1.0,2.2,0.441,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,,1.0,2.4,-1.0,1.1
8,1976-1977,Tiny Archibald,PG,28,27-30,NYN,34,,37.6,7.4,16.5,0.446,,,0.0,7.4,16.5,0.446,0.446,5.8,7.4,0.785,0.6,1.7,2.4,7.5,1.7,0.3,,2.3,20.5,-1.0,19.4
9,1976-1977,Jim Ard,C,28,27-30,BOS,63,,15.4,1.5,4.0,0.378,,,0.0,1.5,4.0,0.378,0.378,0.8,1.2,0.645,1.2,3.5,4.7,0.8,0.3,0.4,,2.0,3.8,-1.0,5.1
10,1976-1977,Bird Averitt,SG,24,23-26,BUF,75,,15.1,3.1,8.3,0.378,,,0.0,3.1,8.3,0.378,0.378,1.6,2.3,0.716,0.3,0.8,1.0,1.8,0.4,0.1,,1.7,7.9,-1.0,3.6
11,1976-1977,Dennis Awtrey,C,28,27-30,PHO,72,,24.4,2.2,5.2,0.429,,,0.0,2.2,5.2,0.429,0.429,1.3,1.8,0.722,1.5,3.4,4.9,2.5,0.3,0.4,,2.4,5.7,-1.0,7.9
12,1976-1977,Mike Bantom,PF-SF,25,23-26,TOT,77,,24.8,4.7,9.8,0.478,,,0.0,4.7,9.8,0.478,0.478,2.9,4.0,0.723,2.4,3.7,6.1,1.3,0.8,0.6,,3.0,12.3,-1.0,11.9
12,1976-1977,Mike Bantom,PF,25,23-26,SEA,44,,18.1,3.1,6.4,0.488,,,0.0,3.1,6.4,0.488,0.488,1.3,1.9,0.69,1.9,2.3,4.2,1.2,0.8,0.5,,2.6,7.5,-1.0,7.7
12,1976-1977,Mike Bantom,SF,25,23-26,NYN,33,,33.8,6.8,14.4,0.473,,,0.0,6.8,14.4,0.473,0.473,5.0,6.8,0.735,3.1,5.6,8.6,1.5,0.8,0.8,,3.6,18.6,-1.0,17.3
13,1976-1977,Tom Barker,C,21,18-22,ATL,59,,22.9,3.1,7.4,0.417,,,0.0,3.1,7.4,0.417,0.417,1.9,2.8,0.683,1.9,4.9,6.8,1.0,0.6,0.7,,3.8,8.1,-1.0,8.2
14,1976-1977,Marvin Barnes,PF,24,23-26,DET,53,,18.7,3.8,8.5,0.447,,,0.0,3.8,8.5,0.447,0.447,2.0,2.9,0.679,1.3,3.5,4.8,0.8,0.7,0.6,,2.6,9.6,-1.0,8.3
15,1976-1977,Jim Barnett,SG,32,31-34,PHI,16,0.0,14.4,1.8,4.0,0.438,,,0.0,1.8,4.0,0.438,0.438,0.6,1.1,0.556,0.4,0.4,0.9,1.4,0.3,0.0,,1.8,4.1,-1.0,2.2
16,1976-1977,Norton Barnhill,SG,23,23-26,SEA,4,,2.5,0.5,1.5,0.333,,,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,0.5,0.3,0.8,0.3,0.0,0.0,,1.3,1.0,-1.0,-0.2
17,1976-1977,Mike Barr,SG,26,23-26,KCK,73,,16.8,1.7,3.8,0.437,,,0.0,1.7,3.8,0.437,0.437,0.6,0.8,0.719,0.5,1.3,1.8,2.4,0.7,0.2,,1.3,3.9,-1.0,5.4
18,1976-1977,Rick Barry,SF,32,31-34,GSW,79,,36.8,8.6,19.6,0.44,,,0.0,8.6,19.6,0.44,0.44,4.5,5.0,0.916,0.9,4.4,5.3,6.0,2.2,0.7,,2.5,21.8,-1.0,22.0
19,1976-1977,Tim Bassett,PF,25,23-26,NYN,76,,32.1,3.9,9.7,0.396,,,0.0,3.9,9.7,0.396,0.396,1.3,2.3,0.571,2.3,6.1,8.4,1.4,1.3,0.7,,3.2,9.0,-1.0,10.8
20,1976-1977,Butch Beard,PG,29,27-30,NYK,70,10.0,15.5,2.1,4.2,0.505,,,0.0,2.1,4.2,0.505,0.505,1.1,1.6,0.688,0.7,1.6,2.3,2.1,0.8,0.1,,2.0,5.3,-1.0,6.0
21,1976-1977,Byron Beck,PF,32,31-34,DEN,53,,9.1,2.0,4.6,0.435,,,0.0,2.0,4.6,0.435,0.435,0.7,0.8,0.818,0.8,1.0,1.8,0.6,0.3,0.0,,1.1,4.7,-1.0,3.6
22,1976-1977,Ron Behagen,PF,26,23-26,NOJ,60,,19.5,3.6,8.5,0.418,,,0.0,3.6,8.5,0.418,0.418,1.5,2.1,0.714,2.4,4.8,7.2,1.4,0.7,0.3,,2.8,8.6,-1.0,9.9
23,1976-1977,Mel Bennett,PF,22,18-22,IND,67,,13.6,1.5,4.4,0.344,,,0.0,1.5,4.4,0.344,0.344,1.7,2.8,0.599,1.6,1.9,3.5,1.0,0.6,0.5,,2.3,4.7,-1.0,4.0
24,1976-1977,Henry Bibby,PG,27,27-30,PHI,81,80.0,32.6,3.7,8.7,0.43,,,0.0,3.7,8.7,0.43,0.43,2.7,3.5,0.784,1.1,2.3,3.4,4.4,1.3,0.1,,2.5,10.2,-1.0,11.1
25,1976-1977,Bob Bigelow,SF,23,23-26,KCK,29,,5.6,1.2,2.4,0.5,,,0.0,1.2,2.4,0.5,0.5,0.5,0.6,0.882,0.3,0.7,0.9,0.3,0.1,0.0,,0.6,2.9,-1.0,2.3
26,1976-1977,Dave Bing,SG,33,31-34,WSB,64,,23.7,4.2,9.3,0.454,,,0.0,4.2,9.3,0.454,0.454,2.1,2.8,0.773,0.8,1.4,2.2,4.3,1.0,0.1,,2.3,10.6,-1.0,10.1
27,1976-1977,Tom Boerwinkle,C,31,31-34,CHI,82,0.0,13.0,1.6,3.3,0.491,,,0.0,1.6,3.3,0.491,0.491,0.4,0.8,0.54,1.2,2.6,3.8,2.3,0.2,0.2,,1.8,3.7,-1.0,6.3
28,1976-1977,Ron Boone,SG,30,27-30,KCK,82,82.0,36.8,9.1,19.2,0.474,,,0.0,9.1,19.2,0.474,0.474,4.0,4.7,0.844,1.6,2.4,3.9,4.1,1.5,0.2,,3.1,22.2,-1.0,18.0
29,1976-1977,Tom Boswell,PF,23,23-26,BOS,70,,15.5,2.5,4.9,0.515,,,0.0,2.5,4.9,0.515,0.515,1.4,1.9,0.711,1.6,2.8,4.4,1.2,0.4,0.1,,3.4,6.4,-1.0,6.2
30,1976-1977,Freddie Boyd,PG,26,23-26,NOJ,47,,25.8,4.1,8.6,0.478,,,0.0,4.1,8.6,0.478,0.478,1.7,2.1,0.806,0.4,1.5,1.9,3.1,0.9,0.1,,1.7,9.9,-1.0,9.3
