ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Gary Alcorn,C,23,DET,58,,11.6,1.6,5.4,.292,,,,1.6,5.4,.292,.292,0.8,1.4,.571,,,4.8,0.4,,,,2.1,4.0
2,Bob Anderegg,SF,22,NYK,33,,11.3,1.7,4.3,.385,,,,1.7,4.3,.385,.385,0.7,1.3,.548,,,2.1,0.9,,,,1.0,4.0
3,Paul Arizin*,SF,31,PHW,72,,36.4,8.2,19.4,.424,,,,8.2,19.4,.424,.424,5.8,7.3,.798,,,8.6,2.3,,,,3.7,22.3
4,Dick Barnett*,SG,23,SYR,57,,21.7,5.1,12.3,.412,,,,5.1,12.3,.412,.412,2.2,3.2,.711,,,2.7,2.8,,,,1.7,12.4
5,Elgin Baylor*,SF,25,MNL,70,,41.0,10.8,25.4,.424,,,,10.8,25.4,.424,.424,8.1,11.0,.732,,,16.4,3.5,,,,3.3,29.6
6,Ernie Beck,SG,28,PHW,66,,12.3,1.7,4.5,.388,,,,1.7,4.5,.388,.388,0.4,0.5,.844,,,1.9,1.1,,,,1.4,3.9
7,Whitey Bell,PG,27,NYK,31,,14.5,2.3,6.0,.378,,,,2.3,6.0,.378,.378,0.9,1.4,.651,,,2.8,1.8,,,,1.9,5.4
8,Al Bianchi,PG,27,SYR,69,,18.2,3.1,8.3,.366,,,,3.1,8.3,.366,.366,1.6,2.2,.703,,,2.6,2.4,,,,3.3,7.7
9,Bucky Bockhorn,SG,26,CIN,75,,28.0,4.3,10.8,.398,,,,4.3,10.8,.398,.398,1.9,2.6,.747,,,5.1,3.4,,,,3.3,10.5
10,Carl Braun*,PG,32,NYK,54,,28.0,5.3,12.2,.432,,,,5.3,12.2,.432,.432,2.4,2.9,.838,,,3.1,5.0,,,,2.4,12.9
11,Barney Cable,SF,24,TOT,57,,12.5,1.9,5.1,.376,,,,1.9,5.1,.376,.376,0.8,1.2,.657,,,3.9,0.7,,,,1.6,4.6
11,Barney Cable,F,24,DET,7,,16.6,3.1,8.6,.367,,,,3.1,8.6,.367,.367,0.6,1.4,.400,,,6.9,0.9,,,,2.7,6.9
11,Barney Cable,SF,24,SYR,50,,12.0,1.7,4.6,.378,,,,1.7,4.6,.378,.378,0.8,1.1,.702,,,3.5,0.7,,,,1.5,4.3
12,Wilt Chamberlain*,C,23,PHW,72,,46.4,14.8,32.1,.461,,,,14.8,32.1,.461,.461,8.0,13.8,.582,,,27.0,2.3,,,,2.1,37.6
13,Gene Conley,PF,29,BOS,71,,18.7,2.8,7.6,.373,,,,2.8,7.6,.373,.373,1.1,1.6,.667,,,8.3,0.5,,,,3.8,6.7
14,Ed Conlin,SG,26,DET,70,,23.4,4.3,11.9,.361,,,,4.3,11.9,.361,.361,2.6,3.4,.761,,,4.9,1.8,,,,2.3,11.2
15,Larry Costello*,PG,28,SYR,71,,34.8,5.2,11.6,.453,,,,5.2,11.6,.453,.453,3.5,4.1,.862,,,5.5,6.3,,,,3.3,14.0
16,Bob Cousy*,PG,31,BOS,75,,34.5,7.6,19.7,.384,,,,7.6,19.7,.384,.384,4.3,5.4,.792,,,4.7,9.5,,,,1.9,19.4
