ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Stacey Arceneaux,F,25,STL,7,,15.7,3.1,8.0,.393,,,,3.1,8.0,.393,.393,0.9,1.9,.462,,,4.6,0.6,,,,1.4,7.1
2,Paul Arizin*,SF,33,PHW,78,,35.7,7.8,19.1,.410,,,,7.8,19.1,.410,.410,6.2,7.7,.805,,,6.8,2.6,,,,3.9,21.9
3,Al Attles*,PG,25,PHW,75,,32.9,4.6,9.7,.474,,,,4.6,9.7,.474,.474,2.1,3.6,.592,,,4.7,4.4,,,,3.7,11.3
4,Elgin Baylor*,SF,27,LAL,48,,44.4,14.2,33.1,.428,,,,14.2,33.1,.428,.428,9.9,13.1,.754,,,18.6,4.6,,,,3.2,38.3
5,Walt Bellamy*,C,22,CHP,79,,42.3,12.3,23.7,.519,,,,12.3,23.7,.519,.519,6.9,10.8,.644,,,19.0,2.7,,,,3.6,31.6
6,Al Bianchi,PG,29,SYR,80,,24.1,4.2,10.6,.397,,,,4.2,10.6,.397,.397,1.9,2.8,.697,,,3.5,3.3,,,,2.9,10.3
7,George Blaney,PG,22,NYK,36,,10.1,1.5,3.9,.380,,,,1.5,3.9,.380,.380,0.3,0.5,.529,,,1.0,1.3,,,,0.9,3.3
8,Bucky Bockhorn,SG,28,CIN,80,,38.3,6.6,15.4,.430,,,,6.6,15.4,.430,.430,2.5,3.1,.789,,,4.7,4.6,,,,3.5,15.8
9,George Bon Salle,PF,26,CHP,3,,3.0,0.7,2.7,.250,,,,0.7,2.7,.250,.250,0.0,0.0,,,,0.7,0.0,,,,0.0,1.3
10,Bob Boozer,PF,24,CIN,79,,31.5,5.2,11.8,.438,,,,5.2,11.8,.438,.438,3.3,4.7,.707,,,10.2,1.6,,,,3.5,13.7
11,Carl Braun*,PG,34,BOS,48,,8.6,1.6,4.3,.377,,,,1.6,4.3,.377,.377,0.4,0.6,.741,,,1.0,1.5,,,,1.0,3.7
12,Joe Buckhalter,PF,24,CIN,63,,11.6,2.4,5.3,.458,,,,2.4,5.3,.458,.458,1.1,1.7,.620,,,4.2,0.7,,,,2.0,5.9
13,Cleveland Buckner,PF,23,NYK,62,,11.2,2.5,5.9,.431,,,,2.5,5.9,.431,.431,1.3,2.1,.624,,,3.8,0.6,,,,1.8,6.4
14,Dave Budd,SF,23,NYK,79,,17.3,2.4,5.5,.436,,,,2.4,5.5,.436,.436,1.7,2.9,.597,,,4.4,1.1,,,,2.1,6.5
15,Ed Burton,F,22,NYK,8,,3.5,0.9,1.8,.500,,,,0.9,1.8,.500,.500,0.1,0.5,.250,,,0.6,0.1,,,,0.4,1.9
16,Donnie Butcher,PG,25,NYK,47,,10.2,1.0,3.3,.310,,,,1.0,3.3,.310,.310,0.9,1.5,.609,,,1.7,1.1,,,,1.3,2.9
17,Al Butler,PG,23,TOT,59,,34.2,5.9,12.8,.463,,,,5.9,12.8,.463,.463,2.2,3.1,.709,,,5.7,3.5,,,,2.6,14.0
17,Al Butler,PG,23,BOS,5,,9.4,2.6,5.8,.448,,,,2.6,5.8,.448,.448,1.0,1.2,.833,,,2.6,0.8,,,,1.8,6.2
17,Al Butler,PG,23,NYK,54,,36.5,6.2,13.4,.463,,,,6.2,13.4,.463,.463,2.3,3.3,.705,,,6.0,3.7,,,,2.7,14.7
18,Barney Cable,SF,26,TOT,67,,27.8,4.6,11.2,.407,,,,4.6,11.2,.407,.407,1.8,2.7,.652,,,8.4,1.7,,,,3.1,10.9
18,Barney Cable,SF,26,CHP,15,,33.2,5.5,14.5,.378,,,,5.5,14.5,.378,.378,2.8,3.9,.712,,,5.5,2.1,,,,3.7,13.7
