ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Zaid Abdul-Aziz,C,22,TOT,49,,19.3,2.9,8.0,.369,,,,2.9,8.0,.369,.369,1.4,2.3,.619,,,8.3,0.8,,,,2.3,7.3
1,Zaid Abdul-Aziz,C-F,22,CIN,20,,5.4,0.9,2.2,.419,,,,0.9,2.2,.419,.419,0.1,0.4,.286,,,1.6,0.2,,,,0.9,1.9
1,Zaid Abdul-Aziz,C,22,MIL,29,,28.9,4.3,12.0,.363,,,,4.3,12.0,.363,.363,2.3,3.7,.642,,,13.0,1.1,,,,3.4,11.0
2,Rick Adelman*,PG,22,SDR,77,,18.8,2.3,5.8,.394,,,,2.3,5.8,.394,.394,1.7,2.6,.642,,,2.8,3.1,,,,2.1,6.3
3,Bob Allen,PF,22,SFW,27,,8.6,0.5,1.6,.326,,,,0.5,1.6,.326,.326,0.7,1.3,.556,,,2.1,0.4,,,,1.0,1.8
4,Cliff Anderson,SG,24,LAL,35,,8.3,1.3,3.1,.407,,,,1.3,3.1,.407,.407,1.3,2.3,.573,,,1.3,0.9,,,,1.7,3.9
5,Al Attles*,PG,32,SFW,51,,29.7,3.2,7.0,.451,,,,3.2,7.0,.451,.451,1.9,2.9,.638,,,3.5,6.0,,,,3.6,8.2
6,Harry Barnes,SF,23,SDR,22,,5.7,0.8,2.9,.281,,,,0.8,2.9,.281,.281,0.3,0.6,.538,,,1.2,0.2,,,,1.1,2.0
7,Jim Barnes,C-PF,27,TOT,59,,12.0,1.9,4.4,.441,,,,1.9,4.4,.441,.441,1.3,1.9,.676,,,3.8,0.5,,,,2.1,5.2
7,Jim Barnes,PF,27,CHI,10,,11.1,2.3,5.9,.390,,,,2.3,5.9,.390,.390,1.0,1.9,.526,,,3.0,0.1,,,,1.5,5.6
7,Jim Barnes,C,27,BOS,49,,12.1,1.9,4.1,.455,,,,1.9,4.1,.455,.455,1.3,1.9,.707,,,4.0,0.6,,,,2.2,5.1
8,Dick Barnett*,SG,32,NYK,82,76,36.0,6.9,14.9,.463,,,,6.9,14.9,.463,.463,3.8,4.9,.774,,,3.1,3.5,,,,2.9,17.6
9,Jim Barnett,SG,24,SDR,80,,29.3,5.8,13.7,.425,,,,5.8,13.7,.425,.425,2.9,3.9,.752,,,4.5,4.2,,,,3.0,14.5
10,John Barnhill,PG,30,BAL,30,,16.8,2.5,5.8,.434,,,,2.5,5.8,.434,.434,1.3,2.2,.600,,,1.8,2.4,,,,2.1,6.4
11,Elgin Baylor*,SF,34,LAL,76,,40.3,9.6,21.5,.447,,,,9.6,21.5,.447,.447,5.5,7.5,.743,,,10.6,5.4,,,,2.7,24.8
12,Zelmo Beaty*,C,29,ATL,72,,35.8,8.2,17.4,.470,,,,8.2,17.4,.470,.470,5.1,7.0,.731,,,11.1,1.8,,,,3.8,21.5
13,Walt Bellamy*,C,29,TOT,88,,35.9,6.4,12.5,.510,,,,6.4,12.5,.510,.510,4.6,7.0,.649,,,12.5,2.0,,,,3.6,17.4
13,Walt Bellamy*,C,29,NYK,35,31,32.5,5.8,11.5,.507,,,,5.8,11.5,.507,.507,3.6,5.8,.619,,,11.0,2.2,,,,3.5,15.2
