ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Al Attles*,PG,26,SFW,71,,26.4,4.2,8.9,.478,,,,4.2,8.9,.478,.478,1.9,2.9,.646,,,2.9,2.6,,,,3.6,10.4
2,Dick Barnett*,SG,26,LAL,80,,31.8,6.8,14.5,.471,,,,6.8,14.5,.471,.471,4.3,5.3,.815,,,3.0,2.8,,,,2.4,18.0
3,John Barnhill,SG,24,STL,77,,35.0,4.7,10.9,.430,,,,4.7,10.9,.430,.430,2.4,3.3,.710,,,4.7,4.2,,,,2.2,11.7
4,Elgin Baylor*,SF,28,LAL,80,,42.1,12.9,28.4,.453,,,,12.9,28.4,.453,.453,8.3,9.9,.837,,,14.3,4.8,,,,2.8,34.0
5,Zelmo Beaty*,C,23,STL,80,,24.0,3.7,8.5,.439,,,,3.7,8.5,.439,.439,2.8,3.8,.717,,,8.3,1.1,,,,3.9,10.2
6,Walt Bellamy*,C,23,CHZ,80,,41.3,10.5,19.9,.527,,,,10.5,19.9,.527,.527,6.9,10.3,.674,,,16.4,2.9,,,,3.5,27.9
7,Al Bianchi,SG,30,SYR,61,,19.0,3.3,7.8,.424,,,,3.3,7.8,.424,.424,2.0,2.7,.732,,,2.2,2.8,,,,2.7,8.6
8,Bucky Bockhorn,SG,29,CIN,80,,32.7,4.7,11.9,.393,,,,4.7,11.9,.393,.393,2.3,3.0,.756,,,4.0,3.3,,,,3.3,11.7
9,Bob Boozer,PF,25,CIN,79,,31.5,5.6,12.6,.444,,,,5.6,12.6,.444,.444,3.2,4.5,.714,,,11.1,1.3,,,,3.8,14.3
10,Bill Bridges,PF,23,STL,27,,13.9,2.4,5.9,.413,,,,2.4,5.9,.413,.413,1.2,1.9,.627,,,5.3,0.9,,,,2.1,6.1
11,Joe Buckhalter,PF,25,CIN,2,,6.0,0.0,2.5,.000,,,,0.0,2.5,.000,.000,1.0,1.0,1.000,,,1.5,0.0,,,,0.5,1.0
12,Cleveland Buckner,PF,24,NYK,6,,4.5,0.8,1.7,.500,,,,0.8,1.7,.500,.500,0.3,0.7,.500,,,0.7,0.8,,,,1.0,2.0
13,Dave Budd,SF,24,NYK,78,,22.1,3.8,7.6,.493,,,,3.8,7.6,.493,.493,1.9,2.6,.748,,,5.1,1.1,,,,2.6,9.5
14,Donnie Butcher,SG,26,NYK,68,,17.5,2.5,6.2,.406,,,,2.5,6.2,.406,.406,1.9,2.9,.675,,,2.6,2.0,,,,2.4,7.0
15,Al Butler,PG,24,NYK,74,,20.1,4.0,9.1,.439,,,,4.0,9.1,.439,.439,1.9,2.5,.770,,,2.3,2.1,,,,2.0,10.0
