ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
1,Henry Akin,PF,22,NYK,50,0,9.1,1.7,4.6,.361,,,,1.7,4.6,.361,.361,0.5,0.7,.703,,,2.4,0.5,,,,1.6,3.8
2,Al Attles*,PG,30,SFW,69,,25.6,3.1,6.8,.454,,,,3.1,6.8,.454,.454,1.3,2.2,.583,,,4.7,3.9,,,,3.8,7.4
3,Johnny Austin,SG,22,BAL,4,,15.3,1.3,5.5,.227,,,,1.3,5.5,.227,.227,3.3,4.0,.813,,,1.8,1.0,,,,3.0,5.8
4,Jim Barnes,PF,25,LAL,80,,17.5,2.7,6.2,.437,,,,2.7,6.2,.437,.437,1.6,2.3,.684,,,5.6,0.6,,,,3.3,7.0
5,Dick Barnett*,SG,30,NYK,67,43,29.4,6.8,14.2,.478,,,,6.8,14.2,.478,.478,3.4,4.4,.783,,,3.4,2.4,,,,2.8,17.0
6,Jim Barnett,SG,22,BOS,48,,8.0,1.6,4.4,.370,,,,1.6,4.4,.370,.370,0.9,1.3,.677,,,1.1,0.9,,,,1.3,4.1
7,John Barnhill,PG,28,BAL,53,,22.9,3.5,8.4,.418,,,,3.5,8.4,.418,.418,1.2,1.9,.641,,,3.0,2.6,,,,1.5,8.3
8,Rick Barry*,SF,22,SFW,78,,40.7,13.0,28.7,.451,,,,13.0,28.7,.451,.451,9.7,10.9,.884,,,9.2,3.6,,,,3.3,35.6
9,Elgin Baylor*,SF,32,LAL,70,,38.7,10.2,23.7,.429,,,,10.2,23.7,.429,.429,6.3,7.7,.813,,,12.8,3.1,,,,3.0,26.6
10,Zelmo Beaty*,C,27,STL,48,,34.6,6.8,14.5,.473,,,,6.8,14.5,.473,.473,4.1,5.4,.758,,,10.7,1.3,,,,3.9,17.8
11,Walt Bellamy*,C,27,NYK,79,78,38.1,7.2,13.7,.521,,,,7.2,13.7,.521,.521,4.7,7.3,.636,,,13.5,2.6,,,,3.5,19.0
12,Dave Bing*,PG,23,DET,80,,34.5,8.3,19.0,.436,,,,8.3,19.0,.436,.436,3.4,4.6,.738,,,4.5,4.1,,,,2.7,20.0
13,John Block,PF,22,LAL,22,,5.4,0.9,2.4,.385,,,,0.9,2.4,.385,.385,1.1,1.5,.706,,,2.0,0.2,,,,0.9,2.9
14,Bob Boozer,PF,29,CHI,80,,30.6,6.7,13.8,.487,,,,6.7,13.8,.487,.487,4.5,5.8,.781,,,8.5,1.1,,,,2.7,18.0
15,Nate Bowman,C,23,CHI,9,,7.2,0.9,2.3,.381,,,,0.9,2.3,.381,.381,0.7,0.9,.750,,,3.1,0.2,,,,2.0,2.4
16,Bill Bridges,PF,27,STL,79,,39.6,6.4,14.0,.455,,,,6.4,14.0,.455,.455,4.6,6.6,.702,,,15.1,2.8,,,,4.1,17.4
17,Em Bryant,PG,28,NYK,63,30,25.3,3.7,9.2,.409,,,,3.7,9.2,.409,.409,1.2,1.8,.649,,,4.3,3.5,,,,3.7,8.7
18,Joe Caldwell,SF,25,STL,81,,27.9,5.7,13.3,.426,,,,5.7,13.3,.426,.426,2.5,3.8,.649,,,5.5,2.0,,,,2.8,13.8
19,Wilt Chamberlain*,C,30,PHI,81,,45.5,9.7,14.2,.683,,,,9.7,14.2,.683,.683,4.8,10.8,.441,,,24.2,7.8,,,,1.8,24.1
20,Jerry Chambers,SF,23,LAL,69,,14.7,3.2,7.2,.452,,,,3.2,7.2,.452,.452,1.0,1.3,.731,,,3.0,0.6,,,,2.1,7.5
21,Len Chappell,C-PF,26,TOT,73,,9.7,1.8,4.3,.422,,,,1.8,4.3,.422,.422,0.7,1.1,.654,,,2.6,0.5,,,,1.4,4.3
21,Len Chappell,PF,26,CHI,19,,9.4,2.1,4.7,.449,,,,2.1,4.7,.449,.449,0.7,1.1,.667,,,2.0,0.6,,,,1.6,4.9
21,Len Chappell,C,26,CIN,54,,9.8,1.7,4.1,.411,,,,1.7,4.1,.411,.411,0.7,1.1,.650,,,2.8,0.4,,,,1.4,4.1
22,Archie Clark,SG,25,LAL,76,,23.2,4.4,9.6,.452,,,,4.4,9.6,.452,.452,1.8,2.5,.708,,,2.9,2.7,,,,2.5,10.5
23,Barry Clemens,SF,23,CHI,60,,16.4,3.1,7.4,.419,,,,3.1,7.4,.419,.419,1.1,1.5,.756,,,3.4,0.7,,,,2.4,7.3
24,Larry Costello*,PG,35,PHI,49,,19.9,2.7,6.0,.444,,,,2.7,6.0,.444,.444,2.4,2.7,.902,,,2.1,2.9,,,,2.9,7.8
25,Mel Counts,C,25,TOT,56,,15.4,3.2,7.5,.422,,,,3.2,7.5,.422,.422,1.2,1.7,.734,,,6.1,0.9,,,,3.3,7.6
25,Mel Counts,C,25,BAL,25,,13.7,2.6,6.7,.389,,,,2.6,6.7,.389,.389,1.2,1.6,.725,,,6.2,1.2,,,,3.2,6.4
25,Mel Counts,C,25,LAL,31,,16.7,3.6,8.1,.444,,,,3.6,8.1,.444,.444,1.3,1.7,.741,,,6.1,0.7,,,,3.3,8.5
26,Freddie Crawford,SG,25,NYK,19,0,10.1,2.3,6.1,.379,,,,2.3,6.1,.379,.379,1.3,2.0,.632,,,2.5,0.6,,,,2.1,5.9
27,Billy Cunningham*,SF,23,PHI,81,,26.8,6.9,15.0,.459,,,,6.9,15.0,.459,.459,4.7,6.9,.686,,,7.3,2.5,,,,3.2,18.5
28,Dave DeBusschere*,SF,26,DET,78,,37.1,6.8,16.4,.415,,,,6.8,16.4,.415,.415,4.6,6.6,.705,,,11.8,2.8,,,,3.8,18.2
29,Dave Deutsch,G,21,NYK,19,0,4.9,0.3,1.9,.167,,,,0.3,1.9,.167,.167,0.5,1.1,.450,,,1.1,0.8,,,,0.9,1.1
