ranker,player,pos,age,team_id,g,gs,mp_per_g,fp_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
30,Connie Dierking,C,30,CIN,77,,24.7,3.8,9.5,.399,,,,3.8,9.5,.399,.399,1.7,2.3,.744,,,7.8,2.1,,,,3.3,9.3
31,Johnny Egan,PG,28,BAL,71,,24.5,3.8,8.8,.428,,,,3.8,8.8,.428,.428,2.6,3.1,.845,,,2.5,3.9,,,,2.7,10.1
32,Joe Ellis,SF,22,SFW,41,,8.1,1.6,4.0,.409,,,,1.6,4.0,.409,.409,0.5,0.6,.760,,,2.7,0.7,,,,1.1,3.7
33,Leroy Ellis,C,26,BAL,81,,36.3,6.1,14.4,.425,,,,6.1,14.4,.425,.425,2.6,3.5,.738,,,12.0,2.1,,,,3.2,14.9
34,Wayne Embry*,C,29,BOS,72,,10.1,2.0,5.0,.409,,,,2.0,5.0,.409,.409,1.1,2.0,.569,,,4.1,0.6,,,,1.9,5.2
35,Keith Erickson,SF,22,CHI,76,,19.1,3.1,8.4,.367,,,,3.1,8.4,.367,.367,1.5,2.1,.736,,,4.5,1.6,,,,2.6,7.7
36,Bob Ferry,C,29,BAL,51,,19.4,2.6,6.2,.419,,,,2.6,6.2,.419,.419,1.4,2.2,.636,,,5.1,1.8,,,,1.9,6.5
37,Hank Finkel,C,24,LAL,27,,5.2,0.6,1.7,.362,,,,0.6,1.7,.362,.362,0.3,0.4,.583,,,2.4,0.2,,,,1.4,1.5
38,Dave Gambee,SF,29,PHI,63,,12.0,2.4,5.5,.435,,,,2.4,5.5,.435,.435,1.7,2.0,.856,,,3.1,0.7,,,,2.3,6.5
39,Gail Goodrich*,SG,23,LAL,77,,23.1,4.6,10.1,.454,,,,4.6,10.1,.454,.454,3.3,4.4,.751,,,3.3,2.7,,,,2.5,12.4
40,Johnny Green,PF,33,BAL,61,,15.5,3.3,7.2,.465,,,,3.3,7.2,.465,.465,1.6,3.4,.464,,,6.5,0.9,,,,2.3,8.2
41,Hal Greer*,SG,30,PHI,80,,38.6,8.7,19.1,.459,,,,8.7,19.1,.459,.459,4.6,5.8,.788,,,5.3,3.8,,,,3.8,22.1
42,Richie Guerin*,SG,34,STL,80,,28.4,4.9,11.3,.436,,,,4.9,11.3,.436,.436,3.8,5.2,.731,,,2.4,4.3,,,,3.1,13.7
43,Matt Guokas,SG,22,PHI,69,,11.7,1.1,2.9,.389,,,,1.1,2.9,.389,.389,0.7,1.2,.605,,,1.2,1.5,,,,1.2,3.0
44,Happy Hairston,SF,24,CIN,79,,30.9,5.8,12.2,.479,,,,5.8,12.2,.479,.479,3.2,4.8,.660,,,8.0,0.8,,,,3.5,14.9
45,Reggie Harding,C,24,DET,74,,18.5,2.3,5.2,.449,,,,2.3,5.2,.449,.449,0.9,1.4,.612,,,6.1,1.3,,,,2.2,5.5
46,John Havlicek*,SF,26,BOS,81,,32.1,8.4,19.0,.444,,,,8.4,19.0,.444,.444,4.5,5.4,.828,,,6.6,3.4,,,,2.6,21.4
47,Tom Hawkins,SF,30,LAL,76,,23.7,3.6,7.5,.481,,,,3.6,7.5,.481,.481,1.1,2.3,.474,,,5.7,1.1,,,,2.7,8.3
48,Walt Hazzard,PG,24,LAL,79,,20.8,3.8,8.9,.426,,,,3.8,8.9,.426,.426,1.6,2.2,.729,,,2.9,4.1,,,,2.6,9.3
49,Fred Hetzel,PF,24,SFW,77,,27.6,4.8,12.1,.400,,,,4.8,12.1,.400,.400,2.5,3.1,.810,,,8.3,1.4,,,,3.0,12.2
50,Wayne Hightower,PF,27,TOT,72,,18.2,2.7,7.9,.344,,,,2.7,7.9,.344,.344,2.1,2.9,.729,,,5.6,0.9,,,,2.6,7.5
50,Wayne Hightower,PF,27,BAL,43,,17.3,2.4,7.2,.334,,,,2.4,7.2,.334,.334,2.1,2.9,.718,,,5.6,0.8,,,,2.6,6.9
50,Wayne Hightower,PF,27,DET,29,,19.4,3.2,8.9,.355,,,,3.2,8.9,.355,.355,2.2,3.0,.744,,,5.7,1.0,,,,2.8,8.6
51,Bob Hogsett,PF,26,DET,7,,3.1,0.7,2.3,.313,,,,0.7,2.3,.313,.313,0.9,0.9,1.000,,,0.4,0.1,,,,0.7,2.3
52,Tom Hoover,C,26,STL,17,,7.6,0.8,1.8,.419,,,,0.8,1.8,.419,.419,0.3,0.8,.385,,,2.1,0.5,,,,2.1,1.8
53,Bailey Howell*,PF,30,BOS,81,,30.9,7.9,15.3,.512,,,,7.9,15.3,.512,.512,4.3,5.8,.741,,,8.4,1.3,,,,3.7,20.0
54,Lou Hudson*,SF,22,STL,80,,30.6,7.8,16.6,.467,,,,7.8,16.6,.467,.467,2.9,4.1,.706,,,5.4,1.2,,,,3.5,18.4
55,Darrall Imhoff,C,28,LAL,81,,33.6,4.6,9.6,.474,,,,4.6,9.6,.474,.474,1.6,2.6,.614,,,13.3,2.7,,,,3.5,10.7
56,Luke Jackson,PF,25,PHI,81,,29.3,4.8,10.9,.438,,,,4.8,10.9,.438,.438,2.4,3.2,.759,,,8.9,1.4,,,,3.4,12.0
57,Gus Johnson*,SF,28,BAL,73,,36.0,8.5,18.9,.450,,,,8.5,18.9,.450,.450,3.7,5.2,.708,,,11.7,2.7,,,,3.8,20.7
58,Neil Johnson,PF,23,NYK,51,3,10.2,1.2,3.4,.345,,,,1.2,3.4,.345,.345,1.1,1.7,.663,,,3.3,0.7,,,,2.0,3.4
59,K.C. Jones*,PG,34,BOS,78,,31.4,2.3,5.9,.397,,,,2.3,5.9,.397,.397,1.5,2.4,.630,,,3.1,5.0,,,,3.5,6.2
60,Sam Jones*,SG,33,BOS,72,,32.3,8.9,19.5,.454,,,,8.9,19.5,.454,.454,4.4,5.2,.857,,,4.7,3.0,,,,2.7,22.1
61,Wali Jones,PG,24,PHI,81,,27.8,5.2,12.1,.431,,,,5.2,12.1,.431,.431,2.8,3.3,.838,,,3.3,3.7,,,,3.0,13.2
62,Toby Kimball,PF,24,BOS,38,,5.8,0.9,2.6,.361,,,,0.9,2.6,.361,.361,0.7,1.1,.675,,,3.8,0.3,,,,1.1,2.6
63,Jim King,SG,25,SFW,67,,24.9,4.3,10.2,.418,,,,4.3,10.2,.418,.418,2.6,3.3,.787,,,4.8,3.6,,,,2.9,11.1
64,Don Kojis,SF,28,CHI,78,,21.2,4.2,9.9,.426,,,,4.2,9.9,.426,.426,1.7,2.8,.604,,,6.1,0.9,,,,2.6,10.2
65,Howard Komives,PG,25,NYK,65,63,35.1,6.2,15.3,.404,,,,6.2,15.3,.404,.404,3.3,3.9,.858,,,2.8,6.2,,,,3.3,15.7
66,Tommy Kron,SG,23,STL,32,,6.9,0.8,2.7,.310,,,,0.8,2.7,.310,.310,0.4,0.6,.684,,,1.1,1.4,,,,1.1,2.1
67,Rudy LaRusso,PF,29,LAL,45,,28.7,4.7,11.3,.415,,,,4.7,11.3,.415,.415,3.5,5.0,.696,,,7.8,1.7,,,,3.3,12.8
68,Clyde Lee,C,22,SFW,74,,16.9,2.8,6.8,.408,,,,2.8,6.8,.408,.408,1.4,2.2,.633,,,7.4,1.0,,,,2.3,7.0
69,George Lee,F-G,30,SFW,1,,5.0,3.0,4.0,.750,,,,3.0,4.0,.750,.750,6.0,7.0,.857,,,0.0,0.0,,,,0.0,12.0
70,Freddie Lewis,PG,23,CIN,32,,10.4,1.9,4.8,.392,,,,1.9,4.8,.392,.392,0.9,1.3,.707,,,1.4,1.3,,,,1.5,4.7
71,Kevin Loughery,SG,26,BAL,76,,33.9,6.8,17.2,.398,,,,6.8,17.2,.398,.398,4.5,5.4,.825,,,4.6,3.8,,,,3.9,18.2
72,Bob Love,PF,24,CIN,66,,16.3,2.6,6.1,.429,,,,2.6,6.1,.429,.429,1.4,2.2,.633,,,3.9,0.7,,,,2.3,6.7
73,Jerry Lucas*,PF,26,CIN,81,,43.9,7.1,15.5,.459,,,,7.1,15.5,.459,.459,3.5,4.4,.791,,,19.1,3.3,,,,3.5,17.8
74,Jack Marin,SF,22,BAL,74,,17.9,3.8,8.5,.448,,,,3.8,8.5,.448,.448,2.0,2.5,.775,,,4.2,1.0,,,,2.7,9.6
75,Jon McGlocklin,SF,23,CIN,60,,19.9,3.6,8.2,.440,,,,3.6,8.2,.440,.440,1.2,1.7,.712,,,2.7,1.6,,,,1.4,8.5
76,McCoy McLemore,SF,24,CHI,79,,17.5,3.3,8.5,.385,,,,3.3,8.5,.385,.385,2.7,3.4,.772,,,4.7,0.8,,,,2.4,9.2
77,Bill Melchionni,PG,22,PHI,73,,9.5,1.9,4.8,.391,,,,1.9,4.8,.391,.391,0.5,0.8,.650,,,1.3,1.3,,,,1.0,4.3
78,Tom Meschery,PF,28,SFW,72,,25.6,4.1,9.8,.415,,,,4.1,9.8,.415,.415,2.4,3.4,.717,,,7.6,1.3,,,,3.7,10.6
79,Eddie Miles,SG,26,DET,81,,29.9,7.2,16.8,.427,,,,7.2,16.8,.427,.427,3.2,4.2,.772,,,3.7,2.2,,,,2.7,17.6
80,Wayne Molis,C,23,NYK,13,0,5.8,1.5,3.9,.373,,,,1.5,3.9,.373,.373,0.5,1.0,.538,,,1.7,0.2,,,,0.7,3.5
81,Erwin Mueller,C,22,CHI,80,,26.7,5.3,12.0,.441,,,,5.3,12.0,.441,.441,2.1,3.3,.658,,,6.2,1.6,,,,2.8,12.7
82,Jeff Mullins,SG,24,SFW,77,,23.8,5.5,11.9,.458,,,,5.5,11.9,.458,.458,1.9,2.8,.701,,,5.0,2.9,,,,2.5,12.9
83,Dorie Murrey,PF,23,DET,35,,8.9,0.9,2.3,.402,,,,0.9,2.3,.402,.402,0.9,1.5,.593,,,2.9,0.3,,,,1.6,2.8
84,Don Nelson*,SF,26,BOS,79,,15.2,2.9,6.4,.446,,,,2.9,6.4,.446,.446,1.8,2.4,.742,,,3.7,0.8,,,,1.8,7.5
85,Paul Neumann,PG,29,SFW,78,,31.0,4.9,11.7,.424,,,,4.9,11.7,.424,.424,4.0,5.0,.800,,,3.5,4.4,,,,3.4,13.9
86,Don Ohl,SG,30,BAL,58,,34.9,7.8,17.3,.451,,,,7.8,17.3,.451,.451,4.8,6.1,.780,,,3.3,2.9,,,,2.6,20.3
87,Bud Olsen,PF,26,SFW,40,,8.7,1.9,4.2,.449,,,,1.9,4.2,.449,.449,0.6,1.5,.397,,,2.6,0.8,,,,1.3,4.3
88,Ron Reed,PF,24,DET,62,,20.1,3.6,9.7,.372,,,,3.6,9.7,.372,.372,1.3,2.1,.594,,,6.8,1.3,,,,2.3,8.5
89,Willis Reed*,PF,24,NYK,78,76,36.2,8.1,16.6,.489,,,,8.1,16.6,.489,.489,4.6,6.2,.735,,,14.6,1.6,,,,3.8,20.9
90,Oscar Robertson*,PG,28,CIN,79,,43.9,10.6,21.5,.493,,,,10.6,21.5,.493,.493,9.3,10.7,.873,,,6.2,10.7,,,,2.9,30.5
91,Flynn Robinson,PG,25,CIN,76,,15.0,3.6,7.9,.457,,,,3.6,7.9,.457,.457,1.6,2.0,.779,,,1.8,1.4,,,,2.6,8.8
92,Guy Rodgers*,PG,31,CHI,81,,37.8,6.6,17.0,.391,,,,6.6,17.0,.391,.391,4.7,5.9,.806,,,4.3,11.2,,,,3.0,18.0
93,Bill Russell*,C,32,BOS,81,,40.7,4.9,10.7,.454,,,,4.9,10.7,.454,.454,3.5,5.8,.610,,,21.0,5.8,,,,3.2,13.3
94,Cazzie Russell,SF,22,NYK,77,25,22.0,4.5,10.2,.436,,,,4.5,10.2,.436,.436,2.3,3.0,.785,,,3.3,2.4,,,,2.3,11.3
95,Tom Sanders*,SF,28,BOS,81,,23.8,4.0,9.3,.428,,,,4.0,9.3,.428,.428,2.2,2.7,.817,,,5.4,1.1,,,,3.8,10.2
96,Dave Schellhase,PG,22,CHI,31,,6.8,1.3,3.6,.360,,,,1.3,3.6,.360,.360,0.5,0.7,.636,,,0.9,0.7,,,,0.9,3.0
97,Ray Scott,C-PF,28,TOT,72,,34.0,6.4,15.9,.400,,,,6.4,15.9,.400,.400,3.6,5.1,.699,,,10.6,2.2,,,,3.0,16.3
97,Ray Scott,C,28,DET,45,,32.8,5.6,15.1,.370,,,,5.6,15.1,.370,.370,3.5,4.6,.757,,,9.0,1.9,,,,2.9,14.7
97,Ray Scott,PF,28,BAL,27,,35.9,7.6,17.1,.445,,,,7.6,17.1,.445,.445,3.7,5.9,.625,,,13.2,2.8,,,,3.1,19.0
98,Larry Siegfried,PG,27,BOS,73,,25.9,5.0,11.4,.442,,,,5.0,11.4,.442,.442,4.0,4.8,.847,,,3.1,3.4,,,,2.8,14.1
99,Paul Silas,PF,23,STL,77,,20.4,2.7,6.3,.429,,,,2.7,6.3,.429,.429,1.5,2.8,.531,,,8.7,1.0,,,,2.7,6.8
100,Jerry Sloan*,SG,24,CHI,80,,36.8,6.6,15.2,.432,,,,6.6,15.2,.432,.432,4.3,5.3,.796,,,9.1,2.1,,,,3.7,17.4
101,Adrian Smith,SG,30,CIN,81,,32.5,6.2,14.2,.438,,,,6.2,14.2,.438,.438,4.2,4.7,.903,,,2.5,2.3,,,,3.4,16.6
102,Dick Snyder,SG,22,STL,55,,12.3,2.6,6.1,.432,,,,2.6,6.1,.432,.432,0.8,1.1,.754,,,1.7,1.1,,,,1.5,6.1
103,Dave Stallworth,SF,25,NYK,76,8,24.9,5.0,10.7,.466,,,,5.0,10.7,.466,.466,3.0,4.2,.716,,,6.2,1.9,,,,3.0,13.0
104,Joe Strawder,C,26,DET,79,,27.3,3.6,8.4,.426,,,,3.6,8.4,.426,.426,2.4,3.3,.718,,,10.0,1.0,,,,4.4,9.5
105,Rod Thorn*,PG,25,STL,67,,17.4,3.5,7.8,.445,,,,3.5,7.8,.445,.445,1.9,2.6,.727,,,2.4,1.8,,,,1.3,8.8
106,Nate Thurmond*,C,25,SFW,65,,42.5,7.2,16.4,.437,,,,7.2,16.4,.437,.437,4.3,6.8,.629,,,21.3,2.6,,,,2.8,18.7
107,Gene Tormohlen,C,29,STL,63,,16.4,2.7,6.4,.427,,,,2.7,6.4,.427,.427,0.8,1.3,.595,,,5.5,1.2,,,,2.8,6.3
108,John Tresvant,PF,27,DET,68,,22.8,3.8,8.6,.438,,,,3.8,8.6,.438,.438,2.4,3.4,.701,,,7.1,1.3,,,,3.6,9.9
109,Dick Van Arsdale,SG,23,NYK,79,79,36.6,5.2,11.6,.449,,,,5.2,11.6,.449,.449,4.7,6.4,.729,,,7.0,3.1,,,,3.3,15.1
110,Tom Van Arsdale,SG,23,DET,79,,27.0,4.4,11.2,.391,,,,4.4,11.2,.391,.391,3.4,4.4,.784,,,4.3,2.4,,,,3.1,12.2
111,Chico Vaughn,SG,26,DET,51,,13.3,1.7,4.4,.376,,,,1.7,4.4,.376,.376,1.0,1.5,.676,,,1.3,1.5,,,,1.1,4.3
112,Chet Walker*,SF,26,PHI,81,,33.2,6.9,14.2,.488,,,,6.9,14.2,.488,.488,5.5,7.2,.766,,,8.1,2.3,,,,2.9,19.3
113,Gerry Ward,SG,25,CHI,76,,13.7,1.5,4.0,.381,,,,1.5,4.0,.381,.381,1.1,1.8,.630,,,2.4,1.7,,,,2.2,4.2
114,Jim Ware,PF,22,CIN,33,,6.1,0.9,2.9,.309,,,,0.9,2.9,.309,.309,0.3,0.5,.588,,,2.1,0.2,,,,1.1,2.1
115,Ben Warley,SF,30,BAL,62,,16.7,2.0,5.0,.401,,,,2.0,5.0,.401,.401,2.2,2.7,.788,,,5.2,0.8,,,,2.8,6.2
116,Bob Warlick,SG,25,SFW,12,,5.4,1.3,4.3,.288,,,,1.3,4.3,.288,.288,0.5,0.9,.545,,,1.7,0.8,,,,0.3,3.0
117,Jim Washington,PF,23,CHI,77,,19.2,3.3,7.8,.417,,,,3.3,7.8,.417,.417,1.1,2.1,.553,,,6.1,0.7,,,,2.4,7.7
118,Ron Watts,F,23,BOS,27,,3.3,0.4,1.6,.250,,,,0.4,1.6,.250,.250,0.6,0.9,.696,,,1.4,0.0,,,,0.6,1.4
119,Bob Weiss,PG,24,PHI,6,,4.8,0.8,1.7,.500,,,,0.8,1.7,.500,.500,0.3,0.8,.400,,,0.5,1.7,,,,1.3,2.0
120,Walt Wesley,C,22,CIN,64,,14.2,2.0,5.2,.393,,,,2.0,5.2,.393,.393,0.8,1.9,.423,,,5.1,0.3,,,,2.5,4.9
121,Jerry West*,PG,28,LAL,66,,40.5,9.8,21.0,.464,,,,9.8,21.0,.464,.464,9.1,10.4,.878,,,5.9,6.8,,,,2.4,28.7
122,Lenny Wilkens*,PG,29,STL,78,,38.1,5.7,13.3,.432,,,,5.7,13.3,.432,.432,5.9,7.5,.787,,,5.3,5.7,,,,3.6,17.4
123,George Wilson,C,24,TOT,55,,10.4,1.5,4.3,.363,,,,1.5,4.3,.363,.363,1.1,1.6,.674,,,3.7,0.3,,,,1.7,4.1
123,George Wilson,C,24,CIN,12,,10.4,0.7,3.4,.195,,,,0.7,3.4,.195,.195,1.1,1.3,.813,,,3.6,0.0,,,,1.6,2.4
123,George Wilson,C,24,CHI,43,,10.4,1.8,4.5,.399,,,,1.8,4.5,.399,.399,1.0,1.6,.643,,,3.8,0.3,,,,1.7,4.6
